yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB8C6I	Entry	Metal binding	Keywords	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Developmental stage	Interacts with	Intramembrane	Subcellular location [CC]	Topological domain	Transmembrane	Cross-reference (BioGrid)	Cross-reference (KEGG)	Cross-reference (EcoGene)	yourlist:M201907266746803381A1F0E0DB47453E0216320D5EB644J
yodC	P64517		Complete proteome;Reference proteome												4261053;	ecj:JW1940;eco:b1957;	EG14307;	
yedI	P46125		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 71 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 114 151 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 173 176 Periplasmic. {ECO:0000255}.; TOPO_DOM 198 231 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 253 271 Periplasmic. {ECO:0000255}.; TOPO_DOM 293 305 Cytoplasmic. {ECO:0000255}.	TRANSMEM 72 92 Helical. {ECO:0000255}.; TRANSMEM 93 113 Helical. {ECO:0000255}.; TRANSMEM 152 172 Helical. {ECO:0000255}.; TRANSMEM 177 197 Helical. {ECO:0000255}.; TRANSMEM 232 252 Helical. {ECO:0000255}.; TRANSMEM 272 292 Helical. {ECO:0000255}.	4261054;	ecj:JW1941;eco:b1958;	EG12709;	
yedS	P76335		Cell outer membrane;Complete proteome;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport	ion transport [GO:0006811]	cell outer membrane [GO:0009279]; pore complex [GO:0046930]	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]	porin activity [GO:0015288]	GO:0006811; GO:0009279; GO:0015288; GO:0046930				SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.					EG14042;	
hchA	P31658	METAL 86 86 Zinc. {ECO:0000269|PubMed:14500888}.; METAL 91 91 Zinc. {ECO:0000269|PubMed:14500888}.; METAL 123 123 Zinc. {ECO:0000269|PubMed:14500888}.	3D-structure;Chaperone;Complete proteome;Cytoplasm;DNA damage;DNA repair;Direct protein sequencing;Hydrolase;Lyase;Metal-binding;Reference proteome;Stress response;Zinc	DNA repair [GO:0006281]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; protein deglycosylation [GO:0006517]; protein repair [GO:0030091]; response to acidic pH [GO:0010447]; response to methylglyoxal [GO:0051595]; RNA repair [GO:0042245]	cytosol [GO:0005829]	cytosol [GO:0005829]; glyoxalase III activity [GO:0019172]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; protein deglycase activity [GO:0036524]; thiolester hydrolase activity [GO:0016790]; zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; protein deglycosylation [GO:0006517]; protein repair [GO:0030091]; response to acidic pH [GO:0010447]; response to methylglyoxal [GO:0051595]; RNA repair [GO:0042245]	glyoxalase III activity [GO:0019172]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; protein deglycase activity [GO:0036524]; thiolester hydrolase activity [GO:0016790]; zinc ion binding [GO:0008270]	GO:0005829; GO:0006281; GO:0006517; GO:0008270; GO:0010447; GO:0016790; GO:0016811; GO:0019172; GO:0019243; GO:0030091; GO:0036524; GO:0042245; GO:0051595		P0ACI6		SUBCELLULAR LOCATION: Cytoplasm.			4260394;	ecj:JW1950;eco:b1967;	EG11755;	
yedY	P76342	METAL 146 146 Molybdenum. {ECO:0000269|PubMed:15355966}.	3D-structure;Complete proteome;Direct protein sequencing;Metal-binding;Molybdenum;Oxidoreductase;Periplasm;Reference proteome;Signal	nitrate assimilation [GO:0042128]; oxidation-reduction process [GO:0055114]; protein repair [GO:0030091]; response to hypochlorite [GO:1901530]; response to oxidative stress [GO:0006979]	outer membrane-bounded periplasmic space [GO:0030288]	outer membrane-bounded periplasmic space [GO:0030288]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on a heme group of donors [GO:0016675]; oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor [GO:0016672]; nitrate assimilation [GO:0042128]; oxidation-reduction process [GO:0055114]; protein repair [GO:0030091]; response to hypochlorite [GO:1901530]; response to oxidative stress [GO:0006979]	metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity, acting on a heme group of donors [GO:0016675]; oxidoreductase activity, acting on a sulfur group of donors, quinone or similar compound as acceptor [GO:0016672]	GO:0006979; GO:0016672; GO:0016675; GO:0030091; GO:0030288; GO:0042128; GO:0043546; GO:0046872; GO:0055114; GO:1901530				SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:16042411}. Note=Is attached to the inner membrane when interacting with the MsrQ subunit.			4259675;	ecj:JW1954;eco:b1971;	EG14047;	
yedZ	P76343		Cell inner membrane;Cell membrane;Complete proteome;Electron transport;FMN;Flavoprotein;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport	oxidation-reduction process [GO:0055114]; protein repair [GO:0030091]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors [GO:0016679]; oxidation-reduction process [GO:0055114]; protein repair [GO:0030091]	electron transfer activity [GO:0009055]; FMN binding [GO:0010181]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on diphenols and related substances as donors [GO:0016679]	GO:0005886; GO:0005887; GO:0009055; GO:0010181; GO:0016679; GO:0020037; GO:0030091; GO:0046872; GO:0055114				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01207, ECO:0000305|PubMed:26641313}.	TOPO_DOM 1 9 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 31 44 Periplasmic. {ECO:0000305}.; TOPO_DOM 68 81 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 103 115 Periplasmic. {ECO:0000305}.; TOPO_DOM 137 149 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 168 170 Periplasmic. {ECO:0000305}.; TOPO_DOM 190 211 Cytoplasmic. {ECO:0000305}.	TRANSMEM 10 30 Helical. {ECO:0000255|HAMAP-Rule:MF_01207}.; TRANSMEM 45 67 Helical. {ECO:0000255|HAMAP-Rule:MF_01207}.; TRANSMEM 82 102 Helical. {ECO:0000255|HAMAP-Rule:MF_01207}.; TRANSMEM 116 136 Helical. {ECO:0000255|HAMAP-Rule:MF_01207}.; TRANSMEM 150 167 Helical. {ECO:0000255|HAMAP-Rule:MF_01207}.; TRANSMEM 171 189 Helical. {ECO:0000255|HAMAP-Rule:MF_01207}.	4260772;	ecj:JW1955;eco:b1972;	EG14048;	
yodB	P76345	METAL 12 12 Iron (heme axial ligand). {ECO:0000255}.; METAL 46 46 Iron (heme axial ligand). {ECO:0000255}.; METAL 152 152 Iron (heme axial ligand). {ECO:0000255}.; METAL 159 159 Iron (heme axial ligand). {ECO:0000255}.	Cell inner membrane;Cell membrane;Complete proteome;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport	respiratory electron transport chain [GO:0022904]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; respiratory electron transport chain [GO:0022904]	electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]	GO:0005886; GO:0009055; GO:0016021; GO:0022904; GO:0046872				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 7 Periplasmic. {ECO:0000255}.; TOPO_DOM 29 85 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 107 141 Periplasmic. {ECO:0000255}.; TOPO_DOM 163 176 Cytoplasmic. {ECO:0000255}.	TRANSMEM 8 28 Helical. {ECO:0000255}.; TRANSMEM 86 106 Helical. {ECO:0000255}.; TRANSMEM 142 162 Helical. {ECO:0000255}.	4260395;	ecj:JW5323;eco:b1974;	EG14050;	
mtfA	P76346		Complete proteome;Cytoplasm;Reference proteome	negative regulation of DNA-binding transcription factor activity [GO:0043433]	cytosol [GO:0005829]	cytosol [GO:0005829]; aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; transcription factor binding [GO:0008134]; negative regulation of DNA-binding transcription factor activity [GO:0043433]	aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; transcription factor binding [GO:0008134]	GO:0004177; GO:0005829; GO:0008134; GO:0008237; GO:0043433		P50456		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16855233}.			4261319;	ecj:JW1958;eco:b1976;	EG13377;	
yeeA	P33011		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0016021; GO:0022857				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 25 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 68 68 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 90 90 Periplasmic. {ECO:0000255}.; TOPO_DOM 112 117 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 139 147 Periplasmic. {ECO:0000255}.; TOPO_DOM 169 352 Cytoplasmic. {ECO:0000255}.	TRANSMEM 26 46 Helical. {ECO:0000255}.; TRANSMEM 47 67 Helical. {ECO:0000255}.; TRANSMEM 69 89 Helical. {ECO:0000255}.; TRANSMEM 91 111 Helical. {ECO:0000255}.; TRANSMEM 118 138 Helical. {ECO:0000255}.; TRANSMEM 148 168 Helical. {ECO:0000255}.	4261061;	ecj:JW1990;eco:b2008;	EG11891;	
yeeD	P33014		Complete proteome;Reference proteome							P63284					4260415;	ecj:JW1994;eco:b2012;	EG11894;	
yeeY	P76369		Complete proteome;DNA-binding;Reference proteome;Transcription;Transcription regulation	transcription, DNA-templated [GO:0006351]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0006351							4259166;	ecj:JW5834;eco:b2015;	EG13392;	
rfbB	P37759		Complete proteome;Lipopolysaccharide biosynthesis;Lyase;NAD;Reference proteome	dTDP-rhamnose biosynthetic process [GO:0019305]; extracellular polysaccharide biosynthetic process [GO:0045226]; lipopolysaccharide biosynthetic process [GO:0009103]; nucleotide-sugar biosynthetic process [GO:0009226]; O antigen biosynthetic process [GO:0009243]	cytosol [GO:0005829]	cytosol [GO:0005829]; coenzyme binding [GO:0050662]; dTDP-glucose 4,6-dehydratase activity [GO:0008460]; identical protein binding [GO:0042802]; dTDP-rhamnose biosynthetic process [GO:0019305]; extracellular polysaccharide biosynthetic process [GO:0045226]; lipopolysaccharide biosynthetic process [GO:0009103]; nucleotide-sugar biosynthetic process [GO:0009226]; O antigen biosynthetic process [GO:0009243]	coenzyme binding [GO:0050662]; dTDP-glucose 4,6-dehydratase activity [GO:0008460]; identical protein binding [GO:0042802]	GO:0005829; GO:0008460; GO:0009103; GO:0009226; GO:0009243; GO:0019305; GO:0042802; GO:0045226; GO:0050662							4259679;	ecj:JW2026;eco:b2041;	EG12412;	
dcd	P28248		3D-structure;Complete proteome;Direct protein sequencing;Hydrolase;Nucleotide metabolism;Nucleotide-binding;Reference proteome	dUMP biosynthetic process [GO:0006226]; dUTP biosynthetic process [GO:0006229]; nucleobase-containing small molecule interconversion [GO:0015949]; response to radiation [GO:0009314]	cytosol [GO:0005829]	cytosol [GO:0005829]; dCTP deaminase activity [GO:0008829]; nucleotide binding [GO:0000166]; dUMP biosynthetic process [GO:0006226]; dUTP biosynthetic process [GO:0006229]; nucleobase-containing small molecule interconversion [GO:0015949]; response to radiation [GO:0009314]	dCTP deaminase activity [GO:0008829]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005829; GO:0006226; GO:0006229; GO:0008829; GO:0009314; GO:0015949							4259684;	ecj:JW2050;eco:b2065;	EG11418;	
yegE	P38097	METAL 720 720 Magnesium. {ECO:0000250|UniProtKB:P31129}.; METAL 763 763 Magnesium. {ECO:0000250|UniProtKB:P31129}.	Cell inner membrane;Cell membrane;Complete proteome;GTP-binding;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Repeat;Transferase;Transmembrane;Transmembrane helix		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; diguanylate cyclase activity [GO:0052621]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]	diguanylate cyclase activity [GO:0052621]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]	GO:0005525; GO:0005886; GO:0016021; GO:0046872; GO:0052621				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.		TRANSMEM 9 29 Helical. {ECO:0000255}.; TRANSMEM 38 58 Helical. {ECO:0000255}.; TRANSMEM 64 84 Helical. {ECO:0000255}.; TRANSMEM 88 108 Helical. {ECO:0000255}.; TRANSMEM 127 147 Helical. {ECO:0000255}.; TRANSMEM 156 176 Helical. {ECO:0000255}.; TRANSMEM 190 207 Helical. {ECO:0000255}.; TRANSMEM 211 228 Helical. {ECO:0000255}.; TRANSMEM 236 256 Helical. {ECO:0000255}.; TRANSMEM 270 290 Helical. {ECO:0000255}.	4259682;	ecj:JW2052;eco:b2067;	EG12396;	
mdtB	P76398		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport		integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0005887; GO:0022857		P76399		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01423}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01423}.		TRANSMEM 15 37 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 345 362 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 367 389 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 396 418 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 438 460 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 472 494 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 535 557 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 867 889 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 909 931 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 968 990 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.; TRANSMEM 1000 1022 Helical. {ECO:0000255|HAMAP-Rule:MF_01423}.	4262010;	ecj:JW2060;eco:b2075;	EG14057;	
yegS	P76407	METAL 215 215 Magnesium; via carbonyl oxygen. {ECO:0000269|PubMed:17351295}.; METAL 218 218 Magnesium. {ECO:0000269|PubMed:17351295}.; METAL 220 220 Magnesium; via carbonyl oxygen. {ECO:0000269|PubMed:17351295}.	3D-structure;ATP-binding;Complete proteome;Cytoplasm;Kinase;Lipid biosynthesis;Lipid metabolism;Magnesium;Metal-binding;Nucleotide-binding;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase	phospholipid biosynthetic process [GO:0008654]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; lipid kinase activity [GO:0001727]; magnesium ion binding [GO:0000287]; NAD+ kinase activity [GO:0003951]; phospholipid biosynthetic process [GO:0008654]	ATP binding [GO:0005524]; lipid kinase activity [GO:0001727]; magnesium ion binding [GO:0000287]; NAD+ kinase activity [GO:0003951]	GO:0000287; GO:0001727; GO:0003951; GO:0005524; GO:0005737; GO:0008654		P0ABH7		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17351295}.			4261758;	ecj:JW2070;eco:b2086;	EG14367;	
fbaB	P0A991		Acetylation;Complete proteome;Cytoplasm;Direct protein sequencing;Glycolysis;Lyase;Reference proteome;Schiff base	glycolytic process [GO:0006096]	cytosol [GO:0005829]; membrane [GO:0016020]	cytosol [GO:0005829]; membrane [GO:0016020]; fructose-bisphosphate aldolase activity [GO:0004332]; identical protein binding [GO:0042802]; glycolytic process [GO:0006096]	fructose-bisphosphate aldolase activity [GO:0004332]; identical protein binding [GO:0042802]	GO:0004332; GO:0005829; GO:0006096; GO:0016020; GO:0042802		Itself		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.			4261525;	ecj:JW5344;eco:b2097;	EG14062;	
yehD	P33343		Complete proteome;Reference proteome;Signal	cell adhesion [GO:0007155]	pilus [GO:0009289]	pilus [GO:0009289]; cell adhesion [GO:0007155]		GO:0007155; GO:0009289							4260437;	ecj:JW2098;eco:b2111;	EG11990;	
yehE	P33344		Complete proteome;Reference proteome;Signal												4259507;	ecj:JW2099;eco:b2112;	EG11991;	
yehS	P33355		Complete proteome;Reference proteome												4261782;	ecj:JW2112;eco:b2124;	EG12005;	
yehT	P0AFT5		Complete proteome;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]		DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]	DNA binding [GO:0003677]	GO:0000160; GO:0003677; GO:0006355		P07004; P0A823					4261849;	ecj:JW5352;eco:b2125;	EG12006;	
yehU	P0AD14		ATP-binding;Cell inner membrane;Cell membrane;Complete proteome;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system	cell wall organization [GO:0071555]; peptidyl-histidine phosphorylation [GO:0018106]; phosphorelay signal transduction system [GO:0000160]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; cell wall organization [GO:0071555]; peptidyl-histidine phosphorylation [GO:0018106]; phosphorelay signal transduction system [GO:0000160]	ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]	GO:0000155; GO:0000160; GO:0005524; GO:0005886; GO:0005887; GO:0018106; GO:0071555				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	TOPO_DOM 1 3 Cytoplasmic. {ECO:0000305|PubMed:15919996}.; TOPO_DOM 25 43 Periplasmic. {ECO:0000305|PubMed:15919996}.; TOPO_DOM 65 72 Cytoplasmic. {ECO:0000305|PubMed:15919996}.; TOPO_DOM 94 108 Periplasmic. {ECO:0000305|PubMed:15919996}.; TOPO_DOM 130 140 Cytoplasmic. {ECO:0000305|PubMed:15919996}.; TOPO_DOM 162 170 Periplasmic. {ECO:0000305|PubMed:15919996}.; TOPO_DOM 192 561 Cytoplasmic. {ECO:0000269|PubMed:15919996}.	TRANSMEM 4 24 Helical. {ECO:0000255}.; TRANSMEM 44 64 Helical. {ECO:0000255}.; TRANSMEM 73 93 Helical. {ECO:0000255}.; TRANSMEM 109 129 Helical. {ECO:0000255}.; TRANSMEM 141 161 Helical. {ECO:0000255}.; TRANSMEM 171 191 Helical. {ECO:0000255}.	4260444;	ecj:JW5353;eco:b2126;	EG12007;	
mlrA	P33358		Activator;Complete proteome;DNA-binding;Reference proteome;Transcription;Transcription regulation			DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700		P77302; P77334					4260445;	ecj:JW2115;eco:b2127;	EG12008;	
yehW	P33359		Amino-acid transport;Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]		GO:0005886; GO:0006865; GO:0016021; GO:0031460; GO:0055085				SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	TOPO_DOM 1 8 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 30 46 Periplasmic. {ECO:0000305}.; TOPO_DOM 68 101 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 123 123 Periplasmic. {ECO:0000305}.; TOPO_DOM 145 161 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 183 206 Periplasmic. {ECO:0000305}.; TOPO_DOM 228 243 Cytoplasmic. {ECO:0000269|PubMed:15919996}.	TRANSMEM 9 29 Helical. {ECO:0000255}.; TRANSMEM 47 67 Helical. {ECO:0000255}.; TRANSMEM 102 122 Helical. {ECO:0000255}.; TRANSMEM 124 144 Helical. {ECO:0000255}.; TRANSMEM 162 182 Helical. {ECO:0000255}.; TRANSMEM 207 227 Helical. {ECO:0000255}.		ecj:JW2116;eco:b2128;	EG12009;	
yehX	P33360		ATP-binding;Amino-acid transport;Complete proteome;Hydrolase;Nucleotide-binding;Reference proteome;Transport	amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]		ATP binding [GO:0005524]; ATPase activity [GO:0016887]; amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	GO:0005524; GO:0006865; GO:0016887; GO:0031460							4260448;	ecj:JW2117;eco:b2129;	EG12010;	
yehY	P33361		Amino-acid transport;Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]; transmembrane transport [GO:0055085]		GO:0005886; GO:0006865; GO:0016021; GO:0031460; GO:0055085		P0ABE2		SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	TOPO_DOM 1 5 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 27 44 Periplasmic. {ECO:0000305}.; TOPO_DOM 66 69 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 91 106 Periplasmic. {ECO:0000305}.; TOPO_DOM 128 137 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 159 180 Periplasmic. {ECO:0000305}.; TOPO_DOM 202 224 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 246 247 Periplasmic. {ECO:0000305}.; TOPO_DOM 269 322 Cytoplasmic. {ECO:0000305}.; TOPO_DOM 344 345 Periplasmic. {ECO:0000305}.; TOPO_DOM 367 385 Cytoplasmic. {ECO:0000269|PubMed:15919996}.	TRANSMEM 6 26 Helical. {ECO:0000255}.; TRANSMEM 45 65 Helical. {ECO:0000255}.; TRANSMEM 70 90 Helical. {ECO:0000255}.; TRANSMEM 107 127 Helical. {ECO:0000255}.; TRANSMEM 138 158 Helical. {ECO:0000255}.; TRANSMEM 181 201 Helical. {ECO:0000255}.; TRANSMEM 225 245 Helical. {ECO:0000255}.; TRANSMEM 248 268 Helical. {ECO:0000255}.; TRANSMEM 323 343 Helical. {ECO:0000255}.; TRANSMEM 346 366 Helical. {ECO:0000255}.	4260449;	ecj:JW2118;eco:b2130;	EG12011;	
osmF	P33362		3D-structure;Amino-acid transport;Complete proteome;Periplasm;Reference proteome;Signal;Transport	amino acid transport [GO:0006865]; cellular hyperosmotic response [GO:0071474]; glycine betaine transport [GO:0031460]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]; cellular hyperosmotic response [GO:0071474]; glycine betaine transport [GO:0031460]	transmembrane transporter activity [GO:0022857]	GO:0006865; GO:0022857; GO:0031460; GO:0042597; GO:0043190; GO:0071474				SUBCELLULAR LOCATION: Periplasm {ECO:0000305}.			4260450;	ecj:JW2119;eco:b2131;	EG12012;	
yohC	P0AD17		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix	cellular response to DNA damage stimulus [GO:0006974]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cellular response to DNA damage stimulus [GO:0006974]		GO:0005886; GO:0006974; GO:0016021				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 32 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 56 64 Periplasmic. {ECO:0000255}.; TOPO_DOM 88 107 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 131 134 Periplasmic. {ECO:0000255}.; TOPO_DOM 158 169 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 193 195 Periplasmic. {ECO:0000255}.	TRANSMEM 33 55 Helical. {ECO:0000255}.; TRANSMEM 65 87 Helical. {ECO:0000255}.; TRANSMEM 108 130 Helical. {ECO:0000255}.; TRANSMEM 135 157 Helical. {ECO:0000255}.; TRANSMEM 170 192 Helical. {ECO:0000255}.	4261820;	ecj:JW5356;eco:b2135;	EG12016;	
yohD	P33366		Cell inner membrane;Cell membrane;Complete proteome;Membrane;Reference proteome;Transmembrane;Transmembrane helix	FtsZ-dependent cytokinesis [GO:0043093]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; FtsZ-dependent cytokinesis [GO:0043093]		GO:0005886; GO:0016021; GO:0043093				SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	TOPO_DOM 1 40 Periplasmic. {ECO:0000255}.; TOPO_DOM 62 121 Cytoplasmic. {ECO:0000255}.; TOPO_DOM 143 159 Periplasmic. {ECO:0000255}.; TOPO_DOM 181 192 Cytoplasmic. {ECO:0000255}.	TRANSMEM 41 61 Helical. {ECO:0000255}.; TRANSMEM 122 142 Helical. {ECO:0000255}.; TRANSMEM 160 180 Helical. {ECO:0000255}.	4259177;	ecj:JW2124;eco:b2136;	EG12017;	
