Geneid,comparison,genename,bnum
CDS:b3597:yibH:putative_membrane_fusion_protein_MFP_component_of_efflux_pump:cds3542:-:1136:NC_000913.3,WT0_WT120.WT120_dRpoS120,yibH,b3597
CDS:b3598:yibI:DUF3302_family_inner_membrane_protein:cds3543:-:362:NC_000913.3,WT0_WT120.WT120_dRpoS120,yibI,b3598
AS_CDS:b3604:lldR:dual_role_activator/repressor_for_lldPRD_operon:cds3550:+:776:NC_000913.3,WT0_WT120.WT120_dRpoS120,lldR,b3604
"IGR:(CDS,b3611,yibN,putative_rhodanese-related_sulfurtransferase,cds3557,-,431/CDS,b3612,gpmM,phosphoglycero_mutase_III%2C_cofactor-independent,cds3558,+,1544):+:203:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
"AS_IGR:(CDS,b3617,kbl,glycine_C-acetyltransferase,cds3563,-,1196/CDS,b3618,yibB,YibB_family_protein%2C_function_unknown,cds3564,-,857):+:223:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b3648:gmk:guanylate_kinase:cds3594:+:623:NC_000913.3,WT0_WT120.WT120_dRpoS120,gmk,b3648
AS_CDS:b3649:rpoZ:RNA_polymerase%2C_omega_subunit:cds3595:+:275:NC_000913.3,WT0_WT120.WT120_dRpoS120,rpoZ,b3649
AS_CDS:b3654:xanP:xanthine_permease:cds3600:+:1391:NC_000913.3,WT0_WT120.WT120_dRpoS120,xanP,b3654
CDS:b4555:yicS:putative_periplasmic_protein:cds3608:+:293:NC_000913.3,WT0_WT120.WT120_dRpoS120,yicS,b4555
AS_CDS:b3662:nepI:putative_transporter:cds3609:-:1190:NC_000913.3,WT0_WT120.WT120_dRpoS120,nepI,b3662
"AS_IGR:(CDS,b3685,yidE,putative_transporter,cds3632,-,1661/CDS,b3686,ibpB,heat_shock_chaperone,cds3633,-,428):+:144:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b3738:atpB:F0_sector_of_membrane-bound_ATP_synthase%2C_subunit_a:cds3686:-:815:NC_000913.3,WT0_WT120.WT120_dRpoS120,atpB,b3738
CDS:b3739:atpI:ATP_synthase%2C_membrane-bound_accessory_factor:cds3687:-:380:NC_000913.3,WT0_WT120.WT120_dRpoS120,atpI,b3739
"IGR:(CDS,b3739,atpI,ATP_synthase%2C_membrane-bound_accessory_factor,cds3687,-,380/CDS,b3740,rsmG,16S_rRNA_m7G527_methyltransferase%2C_SAM-dependent%3B_glucose-inhibited_cell-division_protein,cds3688,-,623):+:565:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b3745:viaA:stimulator_of_RavA_ATPase_activity%3B_von_Willebrand_factor_domain_protein:cds3693:-:1451:NC_000913.3,WT0_WT120.WT120_dRpoS120,viaA,b3745
"IGR:(CDS,b3746,ravA,hexameric_AAA+_MoxR_family_ATPase%2C_putative_molecular_chaperone,cds3694,-,1496/CDS,b3747,kup,potassium_transporter,cds3695,+,1868):+:181:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b3780:rhlB:ATP-dependent_RNA_helicase:cds3720:-:1265:NC_000913.3,WT0_WT120.WT120_dRpoS120,rhlB,b3780
"AS_IGR:(CDS,b3807,cyaY,iron-dependent_inhibitor_of_iron-sulfur_cluster_formation%3B_frataxin%3B_iron-binding_and_oxidizing_protein,cds3743,-,320/CDS,b4558,yifL,putative_lipoprotein,cds3744,+,203):+:421:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b3829:metE:5-methyltetrahydropteroyltriglutamate-homocysteine_S-methyltransferase:cds3764:+:2261:NC_000913.3,WT0_WT120.WT120_dRpoS120,metE,b3829
CDS:b3830:ysgA:putative_carboxymethylenebutenolidase:cds3765:-:815:NC_000913.3,WT0_WT120.WT120_dRpoS120,ysgA,b3830
AS_CDS:b3830:ysgA:putative_carboxymethylenebutenolidase:cds3765:-:815:NC_000913.3,WT0_WT120.WT120_dRpoS120,ysgA,b3830
"IGR:(CDS,b3830,ysgA,putative_carboxymethylenebutenolidase,cds3765,-,815/CDS,b3831,udp,uridine_phosphorylase,cds3766,+,761):+:220:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b3846:fadB:fused_3-hydroxybutyryl-CoA_epimerase/delta3-cis-delta2-trans-enoyl-CoA_isomerase/enoyl-CoA_hydratase/3-hydroxyacyl-CoA_dehydrogenase:cds3779:-:2189:NC_000913.3,WT0_WT120.WT120_dRpoS120,fadB,b3846
AS_CDS:b3879:yihR:putative_sulphoquinovose_mutarotase:cds3807:-:926:NC_000913.3,WT0_WT120.WT120_dRpoS120,yihR,b3879
CDS:b3910:yiiM:6-N-hydroxylaminopurine_resistance_protein:cds3838:+:674:NC_000913.3,WT0_WT120.WT120_dRpoS120,yiiM,b3910
"IGR:(CDS,b3932,hslV,peptidase_component_of_the_HslUV_protease,cds3859,-,530/CDS,b3933,ftsN,essential_cell_division_protein,cds3860,-,959):+:41:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
"AS_IGR:(CDS,b3941,metF,5%2C10-methylenetetrahydrofolate_reductase,cds3868,+,890/CDS,b3942,katG,catalase-peroxidase_HPI%2C_heme_b-containing,cds3869,+,2180):+:277:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b3942:katG:catalase-peroxidase_HPI%2C_heme_b-containing:cds3869:+:2180:NC_000913.3,WT0_WT120.WT120_dRpoS120,katG,b3942
"IGR:(CDS,b3942,katG,catalase-peroxidase_HPI%2C_heme_b-containing,cds3869,+,2180/CDS,b3943,yijE,EamA-like_transporter_family_protein,cds3870,+,905):+:41:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b3959:argB:acetylglutamate_kinase:cds3885:+:776:NC_000913.3,WT0_WT120.WT120_dRpoS120,argB,b3959
CDS:b3960:argH:argininosuccinate_lyase:cds3886:+:1373:NC_000913.3,WT0_WT120.WT120_dRpoS120,argH,b3960
CDS:b3963:fabR:transcriptional_repressor_of_fabA_and_fabB:cds3889:+:647:NC_000913.3,WT0_WT120.WT120_dRpoS120,fabR,b3963
"IGR:(CDS,b3965,trmA,tRNA_m5U54_methyltransferase%2C_SAM-dependent%3B_tmRNA_m5U341_methyltransferase,cds3891,-,1100/CDS,b3966,btuB,vitamin_B12/cobalamin_outer_membrane_transporter,cds3892,+,1844):+:327:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b3966:btuB:vitamin_B12/cobalamin_outer_membrane_transporter:cds3892:+:1844:NC_000913.3,WT0_WT120.WT120_dRpoS120,btuB,b3966
"IGR:(rRNA,b3971,ID,rrfB,5S_ribosomal_RNA_of_rrnB_operon,id522,+,119/CDS,b3972,murB,UDP-N-acetylenolpyruvoylglucosamine_reductase%2C_FAD-binding,cds3894,+,1028):+:279:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b3974:coaA:pantothenate_kinase:cds3896:-:950:NC_000913.3,WT0_WT120.WT120_dRpoS120,coaA,b3974
CDS:b3996:nudC:NADH_pyrophosphatase:cds3914:+:773:NC_000913.3,WT0_WT120.WT120_dRpoS120,nudC,b3996
CDS:b3998:nfi:endonuclease_V%3B_deoxyinosine_3'_endonuclease:cds3916:+:671:NC_000913.3,WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4018:iclR:transcriptional_repressor:cds3932:-:824:NC_000913.3,WT0_WT120.WT120_dRpoS120,iclR,b4018
CDS:b4020:yjbB:putative_Na+/Pi-cotransporter:cds3934:+:1631:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjbB,b4020
AS_CDS:b4020:yjbB:putative_Na+/Pi-cotransporter:cds3934:+:1631:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjbB,b4020
CDS:b4021:pepE:peptidase_E%2C_alpha-aspartyl_dipeptidase:cds3935:-:689:NC_000913.3,WT0_WT120.WT120_dRpoS120,pepE,b4021
CDS:b4029:yjbH:DUF940_family_extracellular_polysaccharide_protein:cds3943:+:2096:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjbH,b4029
AS_CDS:b4620:yjbT:putative_periplasmic_protein:cds3944:-:278:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjbT,b4620
CDS:-:yjbI:-:cds3953:+:1322:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjbI,NA
"IGR:(CDS,-,yjbI,-,cds3953,+,1322/CDS,b4039,ubiC,chorismate--pyruvate_lyase,cds3954,+,497):+:171:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
"IGR:(CDS,b4044,dinF,oxidative_stress_resistance_protein%3B_putative_MATE_family_efflux_pump%3B_UV_and_mitomycin_C_inducible_protein,cds3959,+,1379/CDS,b4045,yjbJ,stress-induced_protein%2C_UPF0337_family,cds3960,+,209):+:64:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4045:yjbJ:stress-induced_protein%2C_UPF0337_family:cds3960:+:209:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjbJ,b4045
AS_CDS:b4046:zur:transcriptional_repressor%2C_ZnII-binding:cds3961:-:515:NC_000913.3,WT0_WT120.WT120_dRpoS120,zur,b4046
CDS:b4049:dusA:tRNA-dihydrouridine_synthase_A:cds3964:+:1037:NC_000913.3,WT0_WT120.WT120_dRpoS120,dusA,b4049
"AS_IGR:(CDS,b4050,pspG,phage_shock_protein_G,cds3965,+,242/CDS,b4051,qorA,quinone_oxidoreductase%2C_NADPH-dependent,cds3966,-,983):+:104:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4051:qorA:quinone_oxidoreductase%2C_NADPH-dependent:cds3966:-:983:NC_000913.3,WT0_WT120.WT120_dRpoS120,qorA,b4051
"AS_IGR:(CDS,b4051,qorA,quinone_oxidoreductase%2C_NADPH-dependent,cds3966,-,983/CDS,b4052,dnaB,replicative_DNA_helicase,cds3967,+,1415):+:41:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4058:uvrA:ATPase_and_DNA_damage_recognition_protein_of_nucleotide_excision_repair_excinuclease_UvrABC:cds3974:-:2822:NC_000913.3,WT0_WT120.WT120_dRpoS120,uvrA,b4058
CDS:b4061:yjcC:putative_membrane-anchored_cyclic-di-GMP_phosphodiesterase:cds3977:+:1586:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjcC,b4061
AS_CDS:b4062:soxS:superoxide_response_regulon_transcriptional_activator%3B_autoregulator:cds3978:-:323:NC_000913.3,WT0_WT120.WT120_dRpoS120,soxS,b4062
"ncRNA:b4459,ID:ryjA:novel_sRNA%2C_function_unknown:id541:-:139:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4071:nrfB:nitrite_reductase%2C_formate-dependent%2C_penta-heme_cytochrome_c:cds3987:+:566:NC_000913.3,WT0_WT120.WT120_dRpoS120,nrfB,b4071
CDS:b4073:nrfD:formate-dependent_nitrite_reductase%2C_membrane_subunit:cds3989:+:956:NC_000913.3,WT0_WT120.WT120_dRpoS120,nrfD,b4073
"IGR:(CDS,b4076,nrfG,heme_lyase_NrfEFG_for_insertion_of_heme_into_c552%2C_subunit_NrfG,cds3992,+,596/CDS,b4077,gltP,glutamate/aspartate,proton_symporter,cds3993,+,1313):+:290:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b4487:yjdP:putative_periplasmic_protein:cds4008:+:329:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjdP,b4487
"AS_IGR:(CDS,b4487,yjdP,putative_periplasmic_protein,cds4008,+,329/CDS,b4092,phnP,5-phospho-alpha-D-ribosyl_1%2C2-cyclic_phosphate_phosphodiesterase,cds4009,-,758):+:85:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4092:phnP:5-phospho-alpha-D-ribosyl_1%2C2-cyclic_phosphate_phosphodiesterase:cds4009:-:758:NC_000913.3,WT0_WT120.WT120_dRpoS120,phnP,b4092
CDS:b4093:phnO:aminoalkylphosphonate_N-acetyltransferase:cds4010:-:434:NC_000913.3,WT0_WT120.WT120_dRpoS120,phnO,b4093
CDS:b4107:yjdN:metalloprotein_superfamily_protein:cds4023:-:443:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjdN,b4107
"AS_IGR:(CDS,b4108,yjdM,zinc-ribbon_family_protein,cds4024,-,335/CDS,b4109,crfC,clamp-binding_sister_replication_fork_colocalization_protein%2C_dynamin-related,cds4025,+,2228):+:359:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4112:basS:sensory_histidine_kinase_in_two-component_regulatory_system_with_BasR:cds4029:-:1091:NC_000913.3,WT0_WT120.WT120_dRpoS120,basS,b4112
CDS:b4114:eptA:lipid_A_phosphoethanolamine_transferase:cds4031:-:1643:NC_000913.3,WT0_WT120.WT120_dRpoS120,eptA,b4114
CDS:b4125:dcuS:sensory_histidine_kinase_in_two-component_regulatory_system_with_DcuR%2C_regulator_of_anaerobic_fumarate_respiration:cds4042:-:1631:NC_000913.3,WT0_WT120.WT120_dRpoS120,dcuS,b4125
CDS:b4126:yjdI:putative_4Fe-4S_mono-cluster_protein:cds4043:+:230:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjdI,b4126
CDS:b4127:yjdJ:GNAT_family_putative_N-acetyltransferase:cds4044:+:272:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjdJ,b4127
"IGR:(CDS,b4127,yjdJ,GNAT_family_putative_N-acetyltransferase,cds4044,+,272/CDS,b4128,ghoS,antitoxin_of_GhoTS_toxin-antitoxin_pair%3B_endonuclease_for_ghoT_mRNA,cds4045,+,296):+:175:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
"AS_IGR:(tRNA,b4134,ID,pheU,tRNA-Phe,id550,-,75/CDS,b4135,yjdC,putative_transcriptional_regulator,cds4053,-,575):+:75:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4135:yjdC:putative_transcriptional_regulator:cds4053:-:575:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjdC,b4135
"IGR:(CDS,b4144,yjeI,DUF4156_family_lipoprotein,cds4062,+,353/CDS,b4145,yjeJ,uncharacterized_protein,cds4063,-,869):+:141:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b4145:yjeJ:uncharacterized_protein:cds4063:-:869:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjeJ,b4145
"IGR:(CDS,b4410,ecnA,entericidin_A_membrane_lipoprotein%2C_antidote_entericidin_B,cds4066,+,125/CDS,b4411,ecnB,entericidin_B_membrane_lipoprotein,cds4067,+,146):+:59:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4411:ecnB:entericidin_B_membrane_lipoprotein:cds4067:+:146:NC_000913.3,WT0_WT120.WT120_dRpoS120,ecnB,b4411
"IGR:(CDS,b4411,ecnB,entericidin_B_membrane_lipoprotein,cds4067,+,146/CDS,b4148,sugE,multidrug_efflux_system_protein,cds4068,+,317):+:124:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b4148:sugE:multidrug_efflux_system_protein:cds4068:+:317:NC_000913.3,WT0_WT120.WT120_dRpoS120,sugE,b4148
CDS:b4149:blc:outer_membrane_lipoprotein_cell_division_and_growth_lipocalin:cds4069:-:533:NC_000913.3,WT0_WT120.WT120_dRpoS120,blc,b4149
AS_CDS:b4166:queG:epoxyqueuosine_reductase%2C_cobalamine-stimulated%3B_queosine_biosynthesis:cds4084:-:1139:NC_000913.3,WT0_WT120.WT120_dRpoS120,queG,b4166
CDS:b4167:nnr:bifunctional_NADPH-hydrate_repair_enzyme%3B_C-terminal_domain_ADP-dependent_S-NADPH-hydrate_dehydratase_and_N-terminal_domain_NADPH-hydrate_epimerase:cds4085:+:1547:NC_000913.3,WT0_WT120.WT120_dRpoS120,nnr,b4167
CDS:b4168:tsaE:tRNAANN_t6A37_threonylcarbamoyladenosine_modification_protein%3B_ADP_binding_protein:cds4086:+:461:NC_000913.3,WT0_WT120.WT120_dRpoS120,tsaE,b4168
CDS:b4169:amiB:N-acetylmuramoyl-l-alanine_amidase_II:cds4087:+:1337:NC_000913.3,WT0_WT120.WT120_dRpoS120,amiB,b4169
CDS:b4187:aidB:DNA_alkylation_damage_repair_protein%3B_flavin-containing_DNA_binding_protein%2C_weak_isovaleryl_CoA_dehydrogenase:cds4105:+:1625:NC_000913.3,WT0_WT120.WT120_dRpoS120,aidB,b4187
"IGR:(CDS,b4187,aidB,DNA_alkylation_damage_repair_protein%3B_flavin-containing_DNA_binding_protein%2C_weak_isovaleryl_CoA_dehydrogenase,cds4105,+,1625/CDS,b4188,yjfN,DUF1471_family_periplasmic_protein,cds4106,-,275):+:55:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4199:yjfY:YhcN_family_protein%2C_periplasmic:cds4117:-:275:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjfY,b4199
CDS:b4207:fklB:FKBP-type_peptidyl-prolyl_cis-trans_isomerase_rotamase:cds4125:+:620:NC_000913.3,WT0_WT120.WT120_dRpoS120,fklB,b4207
CDS:b4213:cpdB:2':3'-cyclic-nucleotide_2'-phosphodiesterase:cds4131:-:1943:NC_000913.3,WT0_WT120.WT120_dRpoS120,NA,NA
"IGR:(CDS,b4213,cpdB,2',3'-cyclic-nucleotide_2'-phosphodiesterase,cds4131,-,1943/CDS,b4214,cysQ,3'2'%2C5'-bisphosphate_nucleotidase,cds4132,+,740):+:148:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4214:cysQ:3'2'%2C5'-bisphosphate_nucleotidase:cds4132:+:740:NC_000913.3,WT0_WT120.WT120_dRpoS120,NA,NA
"IGR:(CDS,b4214,cysQ,3'2'%2C5'-bisphosphate_nucleotidase,cds4132,+,740/CDS,b4215,ytfI,uncharacterized_protein,cds4133,+,938):+:160:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b4216:ytfJ:putative_transcriptional_regulator:cds4134:-:554:NC_000913.3,WT0_WT120.WT120_dRpoS120,ytfJ,b4216
"IGR:(CDS,b4216,ytfJ,putative_transcriptional_regulator,cds4134,-,554/CDS,b4217,ytfK,DUF1107_family_protein,cds4135,+,206):+:283:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4217:ytfK:DUF1107_family_protein:cds4135:+:206:NC_000913.3,WT0_WT120.WT120_dRpoS120,ytfK,b4217
"IGR:(CDS,b4217,ytfK,DUF1107_family_protein,cds4135,+,206/CDS,b4218,ytfL,UPF0053_family_inner_membrane_protein,cds4136,-,1343):+:17:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b4218:ytfL:UPF0053_family_inner_membrane_protein:cds4136:-:1343:NC_000913.3,WT0_WT120.WT120_dRpoS120,ytfL,b4218
CDS:b4227:ytfQ:galactofuranose_ABC_transporter_periplasmic_binding_protein:cds4144:+:956:NC_000913.3,WT0_WT120.WT120_dRpoS120,ytfQ,b4227
"IGR:(CDS,b4227,ytfQ,galactofuranose_ABC_transporter_periplasmic_binding_protein,cds4144,+,956/CDS,b4485,ytfR,putative_sugar_ABC_transporter_ATPase,cds4145,+,1502):+:88:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4485:ytfR:putative_sugar_ABC_transporter_ATPase:cds4145:+:1502:NC_000913.3,WT0_WT120.WT120_dRpoS120,ytfR,b4485
AS_CDS:b4232:fbp:fructose-1%2C6-bisphosphatase_I:cds4148:-:998:NC_000913.3,WT0_WT120.WT120_dRpoS120,fbp,b4232
CDS:b4233:mpl:UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate_ligase:cds4149:+:1373:NC_000913.3,WT0_WT120.WT120_dRpoS120,mpl,b4233
"AS_IGR:(CDS,b4234,yjgA,ribosome-associated_UPF0307_family_protein,cds4150,-,551/CDS,b4235,pmbA,putative_antibiotic_peptide_MccB17_maturation_peptidase,cds4151,+,1352):+:52:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
"IGR:(CDS,b4235,pmbA,putative_antibiotic_peptide_MccB17_maturation_peptidase,cds4151,+,1352/CDS,b4236,cybC,-,cds4152,+,365):+:127:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4248:yjgH:UPF0131_family_protein:cds4164:-:395:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjgH,b4248
AS_CDS:b4255:rraB:protein_inhibitor_of_RNase_E:cds4170:+:416:NC_000913.3,WT0_WT120.WT120_dRpoS120,rraB,b4255
AS_CDS:b4262:lptG:lipopolysaccharide_export_ABC_permease:cds4177:+:1082:NC_000913.3,WT0_WT120.WT120_dRpoS120,lptG,b4262
"AS_IGR:(CDS,b4262,lptG,lipopolysaccharide_export_ABC_permease,cds4177,+,1082/CDS,b4263,yjgR,DUF853_family_protein_with_NTPase_fold,cds4178,-,1502):+:99:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4263:yjgR:DUF853_family_protein_with_NTPase_fold:cds4178:-:1502:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjgR,b4263
AS_CDS:b4268:idnK:D-gluconate_kinase%2C_thermosensitive:cds4183:+:563:NC_000913.3,WT0_WT120.WT120_dRpoS120,idnK,b4268
CDS:b4269:ahr:broad_specificity_NADPH-dependent_aldehyde_reductase%2C_Zn-containing:cds4184:-:1019:NC_000913.3,WT0_WT120.WT120_dRpoS120,ahr,b4269
AS_CDS:b4287:fecE:ferric_citrate_ABC_transporter_ATPase:cds4200:-:767:NC_000913.3,WT0_WT120.WT120_dRpoS120,fecE,b4287
CDS:b4309:nanS:9-O-acetyl_N-acetylneuraminic_acid_esterase:cds4227:-:980:NC_000913.3,WT0_WT120.WT120_dRpoS120,nanS,b4309
CDS:b4327:hypT:hypochlorite-responsive_transcription_factor:cds4245:-:911:NC_000913.3,WT0_WT120.WT120_dRpoS120,hypT,b4327
CDS:b4336:yjiN:zinc-type_alcohol_dehydrogenase-like_protein:cds4254:-:1280:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjiN,b4336
CDS:b4346:mcrB:5-methylcytosine-specific_restriction_enzyme_McrBC%2C_subunit_McrB:cds4262:-:1379:NC_000913.3,WT0_WT120.WT120_dRpoS120,mcrB,b4346
CDS:b4359:opgB:OPG_periplasmic_biosynthetic_phosphoglycerol_transferases_I_membrane-bound_and_II_soluble:cds4275:-:2291:NC_000913.3,WT0_WT120.WT120_dRpoS120,opgB,b4359
AS_CDS:b4359:opgB:OPG_periplasmic_biosynthetic_phosphoglycerol_transferases_I_membrane-bound_and_II_soluble:cds4275:-:2291:NC_000913.3,WT0_WT120.WT120_dRpoS120,opgB,b4359
CDS:b4367:fhuF:ferric_iron_reductase_involved_in_ferric_hydroximate_transport:cds4283:-:788:NC_000913.3,WT0_WT120.WT120_dRpoS120,fhuF,b4367
"AS_IGR:(CDS,b4367,fhuF,ferric_iron_reductase_involved_in_ferric_hydroximate_transport,cds4283,-,788/CDS,b4567,yjjZ,uncharacterized_protein,cds4284,+,236):+:99:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
"IGR:(CDS,b4375,prfC,peptide_chain_release_factor_RF-3,cds4289,+,1589/CDS,b4376,osmY,salt-inducible_putative_ABC_transporter_periplasmic_binding_protein,cds4290,+,605):+:341:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4376:osmY:salt-inducible_putative_ABC_transporter_periplasmic_binding_protein:cds4290:+:605:NC_000913.3,WT0_WT120.WT120_dRpoS120,osmY,b4376
"IGR:(CDS,b4376,osmY,salt-inducible_putative_ABC_transporter_periplasmic_binding_protein,cds4290,+,605/CDS,b4568,ytjA,uncharacterized_protein,cds4291,+,161):+:75:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4568:ytjA:uncharacterized_protein:cds4291:+:161:NC_000913.3,WT0_WT120.WT120_dRpoS120,ytjA,b4568
"IGR:(CDS,b4568,ytjA,uncharacterized_protein,cds4291,+,161/CDS,b4377,yjjU,putative_patatin-like_family_phospholipase,cds4292,+,1073):+:70:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4377:yjjU:putative_patatin-like_family_phospholipase:cds4292:+:1073:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjjU,b4377
CDS:b4392:slt:lytic_murein_transglycosylase%2C_soluble:cds4307:+:1937:NC_000913.3,WT0_WT120.WT120_dRpoS120,slt,b4392
"IGR:(CDS,b4392,slt,lytic_murein_transglycosylase%2C_soluble,cds4307,+,1937/CDS,b4393,trpR,transcriptional_repressor%2C_tryptophan-binding,cds4308,+,326):+:38:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b4394:yjjX:non-canonical_purine_NTP_phosphatase%2C_ITPase/XTPase:cds4309:-:512:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjjX,b4394
CDS:b4395:ytjC:phosphatase:cds4310:+:647:NC_000913.3,WT0_WT120.WT120_dRpoS120,ytjC,b4395
CDS:b4401:arcA:response_regulator_in_two-component_regulatory_system_with_ArcB_or_CpxA:cds4316:-:716:NC_000913.3,WT0_WT120.WT120_dRpoS120,arcA,b4401
AS_CDS:b4401:arcA:response_regulator_in_two-component_regulatory_system_with_ArcB_or_CpxA:cds4316:-:716:NC_000913.3,WT0_WT120.WT120_dRpoS120,arcA,b4401
"AS_IGR:(CDS,b4401,arcA,response_regulator_in_two-component_regulatory_system_with_ArcB_or_CpxA,cds4316,-,716/CDS,b4402,yjjY,uncharacterized_protein,cds4317,+,140):+:54:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
AS_CDS:b4402:yjjY:uncharacterized_protein:cds4317:+:140:NC_000913.3,WT0_WT120.WT120_dRpoS120,yjjY,b4402
"AS_IGR:(CDS,b4402,yjjY,uncharacterized_protein,cds4317,+,140/CDS,b4403,yjtD,putative_methyltransferase,cds4318,+,686):+:348:NC_000913.3",WT0_WT120.WT120_dRpoS120,NA,NA
CDS:b0009:mog:molybdochelatase_incorporating_molybdenum_into_molybdopterin:cds8:+:587:NC_000913.3,WT0_WT150.WT150_dRpoS150,mog,b0009
AS_CDS:b0010:satP:succinate-acetate_transporter:cds9:-:566:NC_000913.3,WT0_WT150.WT150_dRpoS150,satP,b0010
AS_CDS:b0015:dnaJ:chaperone_Hsp40%2C_DnaK_co-chaperone:cds13:+:1130:NC_000913.3,WT0_WT150.WT150_dRpoS150,dnaJ,b0015
CDS:b0019:nhaA:sodium-proton_antiporter:cds17:+:1166:NC_000913.3,WT0_WT150.WT150_dRpoS150,nhaA,b0019
"IGR:(CDS,b0019,nhaA,sodium-proton_antiporter,cds17,+,1166/CDS,b0020,nhaR,transcriptional_activator_of_nhaA,cds18,+,905):+:8:NC_000913.3",WT0_WT150.WT150_dRpoS150,NA,NA
CDS:b0020:nhaR:transcriptional_activator_of_nhaA:cds18:+:905:NC_000913.3,WT0_WT150.WT150_dRpoS150,nhaR,b0020
CDS:b0024:yaaY:uncharacterized_protein:cds22:+:218:NC_000913.3,WT0_WT150.WT150_dRpoS150,yaaY,b0024
AS_CDS:b0030:rihC:ribonucleoside_hydrolase_3:cds28:+:914:NC_000913.3,WT0_WT150.WT150_dRpoS150,rihC,b0030
CDS:b0046:kefF:potassium-efflux_system_ancillary_protein_for_KefC%2C_glutathione-regulated%3B_quinone_oxidoreductase%2C_FMN-dependent:cds44:+:530:NC_000913.3,WT0_WT150.WT150_dRpoS150,kefF,b0046
