Geneid,comparison,genename,bnum,group
CDS:b2080:yegP:UPF0339_family_protein:cds2066:+:332:NC_000913.3,WT0_WT120,yegP,b2080,sensitive
"IGR:(CDS,b2080,yegP,UPF0339_family_protein,cds2066,+,332/CDS,b2081,yegQ,putative_peptidase,cds2067,+,1361):+:95:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2081:yegQ:putative_peptidase:cds2067:+:1361:NC_000913.3,WT0_WT120,yegQ,b2081,NA
"IGR:(CDS,b2081,yegQ,putative_peptidase,cds2067,+,1361/ncRNA,b4438,ID,cyaR,sRNA_antisense_regulator_of_ompX_mRNA_instability%2C_Hfq-dependent%2C_cAMP-induced,id257,+,86):+:53:NC_000913.3",WT0_WT120,NA,NA,NA
"ncRNA:b4438,ID:cyaR:sRNA_antisense_regulator_of_ompX_mRNA_instability%2C_Hfq-dependent%2C_cAMP-induced:id257:+:86:NC_000913.3",WT0_WT120,NA,NA,NA
AS_sequence_feature:-:-:-:id258:-:628:NC_000913.3,WT0_WT120,NA,NA,NA
AS_CDS:b2082:ogrK:orphan_Ogr_protein%2C_positive_regulator_of_P2_growth:cds2068:-:218:NC_000913.3,WT0_WT120,ogrK,b2082,NA
"AS_IGR:(CDS,b2083,yegZ,-,cds2069,-,212/CDS,b2085,yegR,uncharacterized_protein,cds2070,-,317):+:123:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2085:yegR:uncharacterized_protein:cds2070:-:317:NC_000913.3,WT0_WT120,yegR,b2085,NA
CDS:b2086:yegS:phosphatidylglycerol_kinase%2C_metal-dependent:cds2071:+:899:NC_000913.3,WT0_WT120,yegS,b2086,NA
"IGR:(CDS,b2086,yegS,phosphatidylglycerol_kinase%2C_metal-dependent,cds2071,+,899/CDS,b4498,gatR,-,cds2072,-,474):+:20:NC_000913.3",WT0_WT120,NA,NA,NA
AS_CDS:b4498:gatR:-:cds2072:-:474:NC_000913.3,WT0_WT120,gatR,b4498,NA
mobile_genetic_element:-:-:-:id260:+:1257:NC_000913.3,WT0_WT120,NA,NA,NA
AS_mobile_genetic_element:-:-:-:id260:+:1257:NC_000913.3,WT0_WT120,NA,NA,NA
CDS:b2089:insF1:IS3_transposase_B:cds2074:+:866:NC_000913.3,WT0_WT120,insF1,b2089,NA
AS_CDS:b2089:insF1:IS3_transposase_B:cds2074:+:866:NC_000913.3,WT0_WT120,insF1,b2089,NA
CDS:b4498:gatR:-:cds2072:-:298:NC_000913.3,WT0_WT120,gatR,b4498,NA
AS_CDS:b4498:gatR:-:cds2072:-:298:NC_000913.3,WT0_WT120,gatR,b4498,NA
"IGR:(CDS,b4498,gatR,-,cds2072,-,298/CDS,b2091,gatD,galactitol-1-phosphate_dehydrogenase%2C_Zn-dependent_and_NADP-binding,cds2075,-,1040):+:54:NC_000913.3",WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b4498,gatR,-,cds2072,-,298/CDS,b2091,gatD,galactitol-1-phosphate_dehydrogenase%2C_Zn-dependent_and_NADP-binding,cds2075,-,1040):+:54:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2091:gatD:galactitol-1-phosphate_dehydrogenase%2C_Zn-dependent_and_NADP-binding:cds2075:-:1040:NC_000913.3,WT0_WT120,gatD,b2091,NA
AS_CDS:b2091:gatD:galactitol-1-phosphate_dehydrogenase%2C_Zn-dependent_and_NADP-binding:cds2075:-:1040:NC_000913.3,WT0_WT120,gatD,b2091,NA
CDS:-:gatC:-:cds2076:-:441:NC_000913.3,WT0_WT120,gatC,NA,NA
AS_CDS:-:gatC:-:cds2076:-:441:NC_000913.3,WT0_WT120,gatC,NA,NA
gene:b2092:gatC:-:gene2147:-:1357:NC_000913.3,WT0_WT120,NA,NA,NA
AS_gene:b2092:gatC:-:gene2147:-:1357:NC_000913.3,WT0_WT120,NA,NA,NA
CDS:-:gatC:-:cds2076:-:913:NC_000913.3,WT0_WT120,gatC,NA,NA
AS_CDS:-:gatC:-:cds2076:-:913:NC_000913.3,WT0_WT120,gatC,NA,NA
CDS:b2093:gatB:galactitol-specific_enzyme_IIB_component_of_PTS:cds2077:-:284:NC_000913.3,WT0_WT120,gatB,b2093,NA
AS_CDS:b2093:gatB:galactitol-specific_enzyme_IIB_component_of_PTS:cds2077:-:284:NC_000913.3,WT0_WT120,gatB,b2093,NA
CDS:b2094:gatA:galactitol-specific_enzyme_IIA_component_of_PTS:cds2078:-:452:NC_000913.3,WT0_WT120,gatA,b2094,NA
AS_CDS:b2094:gatA:galactitol-specific_enzyme_IIA_component_of_PTS:cds2078:-:452:NC_000913.3,WT0_WT120,gatA,b2094,NA
CDS:b2095:gatZ:D-tagatose_1%2C6-bisphosphate_aldolase_2%2C_subunit:cds2079:-:1262:NC_000913.3,WT0_WT120,gatZ,b2095,NA
AS_CDS:b2095:gatZ:D-tagatose_1%2C6-bisphosphate_aldolase_2%2C_subunit:cds2079:-:1262:NC_000913.3,WT0_WT120,gatZ,b2095,NA
CDS:b2096:gatY:D-tagatose_1%2C6-bisphosphate_aldolase_2%2C_catalytic_subunit:cds2080:-:854:NC_000913.3,WT0_WT120,gatY,b2096,NA
AS_CDS:b2096:gatY:D-tagatose_1%2C6-bisphosphate_aldolase_2%2C_catalytic_subunit:cds2080:-:854:NC_000913.3,WT0_WT120,gatY,b2096,NA
"IGR:(CDS,b2096,gatY,D-tagatose_1%2C6-bisphosphate_aldolase_2%2C_catalytic_subunit,cds2080,-,854/CDS,b2097,fbaB,fructose-bisphosphate_aldolase_class_I,cds2081,-,1052):+:256:NC_000913.3",WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b2096,gatY,D-tagatose_1%2C6-bisphosphate_aldolase_2%2C_catalytic_subunit,cds2080,-,854/CDS,b2097,fbaB,fructose-bisphosphate_aldolase_class_I,cds2081,-,1052):+:256:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2097:fbaB:fructose-bisphosphate_aldolase_class_I:cds2081:-:1052:NC_000913.3,WT0_WT120,fbaB,b2097,NA
AS_CDS:b2097:fbaB:fructose-bisphosphate_aldolase_class_I:cds2081:-:1052:NC_000913.3,WT0_WT120,fbaB,b2097,NA
"IGR:(CDS,b2097,fbaB,fructose-bisphosphate_aldolase_class_I,cds2081,-,1052/CDS,b2098,yegT,nucleoside_transporter%2C_low_affinity,cds2082,+,1277):+:215:NC_000913.3",WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b2097,fbaB,fructose-bisphosphate_aldolase_class_I,cds2081,-,1052/CDS,b2098,yegT,nucleoside_transporter%2C_low_affinity,cds2082,+,1277):+:215:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2101:yegW:putative_DNA-binding_transcriptional_regulator:cds2085:-:746:NC_000913.3,WT0_WT120,yegW,b2101,NA
CDS:b2104:thiM:hydoxyethylthiazole_kinase:cds2088:-:788:NC_000913.3,WT0_WT120,thiM,b2104,NA
"AS_IGR:(CDS,b2104,thiM,hydoxyethylthiazole_kinase,cds2088,-,788/CDS,b2105,rcnR,transcriptional_repressor_of_rcnA,cds2089,-,272):+:171:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2106:rcnA:membrane_protein_conferring_nickel_and_cobalt_resistance:cds2090:+:824:NC_000913.3,WT0_WT120,rcnA,b2106,NA
CDS:b2109:yehB:putative_outer_membrane_protein:cds2093:-:2480:NC_000913.3,WT0_WT120,yehB,b2109,NA
CDS:b2110:yehC:putative_periplasmic_pilin_chaperone:cds2094:-:719:NC_000913.3,WT0_WT120,yehC,b2110,NA
CDS:b2111:yehD:putative_fimbrial-like_adhesin_protein:cds2095:-:542:NC_000913.3,WT0_WT120,yehD,b2111,NA
"AS_IGR:(CDS,b2111,yehD,putative_fimbrial-like_adhesin_protein,cds2095,-,542/CDS,b2112,yehE,DUF2574_family_protein,cds2096,-,281):+:241:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2112:yehE:DUF2574_family_protein:cds2096:-:281:NC_000913.3,WT0_WT120,yehE,b2112,NA
AS_CDS:b2112:yehE:DUF2574_family_protein:cds2096:-:281:NC_000913.3,WT0_WT120,yehE,b2112,NA
"AS_IGR:(CDS,b2112,yehE,DUF2574_family_protein,cds2096,-,281/CDS,b2113,mrp,antiporter_inner_membrane_protein,cds2097,-,1109):+:211:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2114:metG:methionyl-tRNA_synthetase:cds2098:+:2033:NC_000913.3,WT0_WT120,metG,b2114,NA
AS_CDS:b2123:yehR:lipoprotein%2C_DUF1307_family:cds2106:+:461:NC_000913.3,WT0_WT120,yehR,b2123,NA
CDS:b2124:yehS:DUF1456_family_protein:cds2107:-:470:NC_000913.3,WT0_WT120,yehS,b2124,NA
"IGR:(CDS,b2126,yehU,inner_membrane_putative_sensory_kinase_in_two-component_system_with_YehT,cds2109,-,1685/CDS,b2127,mlrA,transcriptional_activator_of_csgD_and_csgBA,cds2110,+,731):+:180:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2127:mlrA:transcriptional_activator_of_csgD_and_csgBA:cds2110:+:731:NC_000913.3,WT0_WT120,mlrA,b2127,sensitive
AS_CDS:b2127:mlrA:transcriptional_activator_of_csgD_and_csgBA:cds2110:+:731:NC_000913.3,WT0_WT120,mlrA,b2127,sensitive
CDS:b4542:yohO:putative_membrane_protein:cds2111:+:107:NC_000913.3,WT0_WT120,yohO,b4542,NA
AS_CDS:b4542:yohO:putative_membrane_protein:cds2111:+:107:NC_000913.3,WT0_WT120,yohO,b4542,NA
CDS:b2128:yehW:putative_ABC_transporter_permease:cds2112:-:731:NC_000913.3,WT0_WT120,yehW,b2128,NA
AS_CDS:b2128:yehW:putative_ABC_transporter_permease:cds2112:-:731:NC_000913.3,WT0_WT120,yehW,b2128,NA
CDS:b2129:yehX:putative_ABC_transporter_ATPase:cds2113:-:926:NC_000913.3,WT0_WT120,yehX,b2129,NA
CDS:b2130:yehY:putative_ABC_transporter_permease:cds2114:-:1157:NC_000913.3,WT0_WT120,yehY,b2130,NA
AS_CDS:b2130:yehY:putative_ABC_transporter_permease:cds2114:-:1157:NC_000913.3,WT0_WT120,yehY,b2130,NA
CDS:b2131:osmF:putative_ABC_transporter_periplasmic_binding_protein:cds2115:-:917:NC_000913.3,WT0_WT120,osmF,b2131,NA
AS_CDS:b2131:osmF:putative_ABC_transporter_periplasmic_binding_protein:cds2115:-:917:NC_000913.3,WT0_WT120,osmF,b2131,NA
"IGR:(CDS,b2132,bglX,beta-D-glucoside_glucohydrolase%2C_periplasmic,cds2116,-,2297/CDS,b2133,dld,D-lactate_dehydrogenase%2C_FAD-binding%2C_NADH_independent,cds2117,+,1715):+:154:NC_000913.3",WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b2132,bglX,beta-D-glucoside_glucohydrolase%2C_periplasmic,cds2116,-,2297/CDS,b2133,dld,D-lactate_dehydrogenase%2C_FAD-binding%2C_NADH_independent,cds2117,+,1715):+:154:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2133:dld:D-lactate_dehydrogenase%2C_FAD-binding%2C_NADH_independent:cds2117:+:1715:NC_000913.3,WT0_WT120,dld,b2133,NA
CDS:b2134:pbpG:D-alanyl-D-alanine_endopeptidase:cds2118:-:932:NC_000913.3,WT0_WT120,pbpG,b2134,NA
AS_CDS:b2134:pbpG:D-alanyl-D-alanine_endopeptidase:cds2118:-:932:NC_000913.3,WT0_WT120,pbpG,b2134,NA
CDS:b2135:yohC:Yip1_family_inner_membrane_protein:cds2119:-:587:NC_000913.3,WT0_WT120,yohC,b2135,NA
"AS_IGR:(CDS,b2135,yohC,Yip1_family_inner_membrane_protein,cds2119,-,587/CDS,b2136,yohD,DedA_family_inner_membrane_protein,cds2120,+,578):+:128:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2136:yohD:DedA_family_inner_membrane_protein:cds2120:+:578:NC_000913.3,WT0_WT120,yohD,b2136,NA
AS_CDS:b2136:yohD:DedA_family_inner_membrane_protein:cds2120:+:578:NC_000913.3,WT0_WT120,yohD,b2136,NA
"IGR:(CDS,b2136,yohD,DedA_family_inner_membrane_protein,cds2120,+,578/CDS,b2137,yohF,putative_oxidoreductase,cds2121,-,761):+:68:NC_000913.3",WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b2136,yohD,DedA_family_inner_membrane_protein,cds2120,+,578/CDS,b2137,yohF,putative_oxidoreductase,cds2121,-,761):+:68:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2137:yohF:putative_oxidoreductase:cds2121:-:761:NC_000913.3,WT0_WT120,yohF,b2137,NA
AS_CDS:b2137:yohF:putative_oxidoreductase:cds2121:-:761:NC_000913.3,WT0_WT120,yohF,b2137,NA
"IGR:(CDS,-,mdtQ,-,cds2122,-,149/CDS,b4679,yohP,uncharacterized_protein,cds2123,+,83):+:182:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b4679:yohP:uncharacterized_protein:cds2123:+:83:NC_000913.3,WT0_WT120,yohP,b4679,NA
"IGR:(CDS,b4679,yohP,uncharacterized_protein,cds2123,+,83/CDS,b2140,dusC,tRNA-dihydrouridine_synthase_C,cds2124,-,947):+:311:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2140:dusC:tRNA-dihydrouridine_synthase_C:cds2124:-:947:NC_000913.3,WT0_WT120,dusC,b2140,NA
"IGR:(CDS,b2140,dusC,tRNA-dihydrouridine_synthase_C,cds2124,-,947/CDS,b2141,yohJ,UPF0299_family_inner_membrane_protein,cds2125,+,398):+:197:NC_000913.3",WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b2142,yohK,LrgB_family_inner_membrane_protein,cds2126,+,695/CDS,b2143,cdd,cytidine/deoxycytidine_deaminase,cds2127,+,884):+:78:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2143:cdd:cytidine/deoxycytidine_deaminase:cds2127:+:884:NC_000913.3,WT0_WT120,cdd,b2143,NA
"IGR:(CDS,b2143,cdd,cytidine/deoxycytidine_deaminase,cds2127,+,884/CDS,b2144,sanA,DUF218_superfamily_vancomycin_high_temperature_exclusion_protein,cds2128,+,719):+:98:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2144:sanA:DUF218_superfamily_vancomycin_high_temperature_exclusion_protein:cds2128:+:719:NC_000913.3,WT0_WT120,sanA,b2144,NA
CDS:b2146:preT:dihydropyrimidine_dehydrogenase%2C_NADH-dependent%2C_subunit_N:cds2130:+:1238:NC_000913.3,WT0_WT120,preT,b2146,NA
CDS:b2147:preA:dihydropyrimidine_dehydrogenase%2C_NADH-dependent%2C_subunit_C:cds2131:+:1235:NC_000913.3,WT0_WT120,preA,b2147,NA
"IGR:(CDS,b2147,preA,dihydropyrimidine_dehydrogenase%2C_NADH-dependent%2C_subunit_C,cds2131,+,1235/CDS,b2148,mglC,methyl-galactoside_transporter_subunit,cds2132,-,1010):+:181:NC_000913.3",WT0_WT120,NA,NA,NA
"IGR:(CDS,b2149,mglA,methyl-galactoside_ABC_transporter_ATPase,cds2133,-,1520/CDS,b2150,mglB,methyl-galactoside_transporter_subunit,cds2134,-,998):+:9:NC_000913.3",WT0_WT120,NA,NA,NA
AS_CDS:b2150:mglB:methyl-galactoside_transporter_subunit:cds2134:-:998:NC_000913.3,WT0_WT120,mglB,b2150,NA
"IGR:(CDS,b2150,mglB,methyl-galactoside_transporter_subunit,cds2134,-,998/CDS,b2151,galS,galactose-_and_fucose-inducible_galactose_regulon_transcriptional_isorepressor%3B_mgl_operon_transcriptional_repressor%3B_autorepressor,cds2135,-,1040):+:228:NC_000913.3",WT0_WT120,NA,NA,NA
"IGR:(CDS,b2153,folE,GTP_cyclohydrolase_I,cds2137,-,668/CDS,b2154,yeiG,S-formylglutathione_hydrolase,cds2138,+,836):+:216:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2154:yeiG:S-formylglutathione_hydrolase:cds2138:+:836:NC_000913.3,WT0_WT120,yeiG,b2154,NA
AS_CDS:b2154:yeiG:S-formylglutathione_hydrolase:cds2138:+:836:NC_000913.3,WT0_WT120,yeiG,b2154,NA
CDS:b2155:cirA:colicin_IA_outer_membrane_receptor_and_translocator%3B_ferric_iron-catecholate_transporter:cds2139:-:1991:NC_000913.3,WT0_WT120,cirA,b2155,NA
"AS_IGR:(CDS,b2155,cirA,colicin_IA_outer_membrane_receptor_and_translocator%3B_ferric_iron-catecholate_transporter,cds2139,-,1991/CDS,b2156,lysP,lysine_transporter,cds2140,-,1469):+:242:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2156:lysP:lysine_transporter:cds2140:-:1469:NC_000913.3,WT0_WT120,lysP,b2156,NA
AS_CDS:b2158:yeiH:UPF0324_family_inner_membrane_protein:cds2142:+:1049:NC_000913.3,WT0_WT120,yeiH,b2158,NA
CDS:b2160:yeiI:putative_kinase:cds2144:+:1088:NC_000913.3,WT0_WT120,yeiI,b2160,NA
AS_CDS:b2160:yeiI:putative_kinase:cds2144:+:1088:NC_000913.3,WT0_WT120,yeiI,b2160,NA
CDS:b2162:rihB:ribonucleoside_hydrolase_2:cds2146:-:941:NC_000913.3,WT0_WT120,rihB,b2162,NA
AS_CDS:b2162:rihB:ribonucleoside_hydrolase_2:cds2146:-:941:NC_000913.3,WT0_WT120,rihB,b2162,NA
CDS:b2163:yeiL:putative_transcriptional_regulator:cds2147:+:659:NC_000913.3,WT0_WT120,yeiL,b2163,NA
AS_CDS:b2163:yeiL:putative_transcriptional_regulator:cds2147:+:659:NC_000913.3,WT0_WT120,yeiL,b2163,NA
CDS:b2164:psuT:putative_nucleoside_transporter:cds2148:-:1250:NC_000913.3,WT0_WT120,psuT,b2164,NA
CDS:b2165:psuG:pseudouridine_5'-phosphate_glycosidase:cds2149:-:938:NC_000913.3,WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b2166,psuK,pseudouridine_kinase,cds2150,-,941/CDS,b2167,fruA,fused_fructose-specific_PTS_enzymes,_IIBcomponent/IIC_components,cds2151,-,1691):+:371:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2167:fruA:fused_fructose-specific_PTS_enzymes:_IIBcomponent/IIC_components:cds2151:-:1691:NC_000913.3,WT0_WT120,fruA,b2167,NA
CDS:b2168:fruK:fructose-1-phosphate_kinase:cds2152:-:938:NC_000913.3,WT0_WT120,fruK,b2168,NA
CDS:b2169:fruB:fused_fructose-specific_PTS_enzymes:_IIA_component/HPr_component:cds2153:-:1130:NC_000913.3,WT0_WT120,fruB,b2169,NA
AS_CDS:b2169:fruB:fused_fructose-specific_PTS_enzymes:_IIA_component/HPr_component:cds2153:-:1130:NC_000913.3,WT0_WT120,fruB,b2169,NA
"AS_IGR:(CDS,b2169,fruB,fused_fructose-specific_PTS_enzymes,_IIA_component/HPr_component,cds2153,-,1130/CDS,b2170,setB,lactose/glucose_efflux_system,cds2154,+,1181):+:326:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b4502:yeiW:UPF0153_cysteine_cluster_protein:cds2155:-:254:NC_000913.3,WT0_WT120,yeiW,b4502,NA
CDS:b2171:yeiP:elongation_factor_P-like_protein:cds2156:+:572:NC_000913.3,WT0_WT120,yeiP,b2171,NA
"IGR:(CDS,b2171,yeiP,elongation_factor_P-like_protein,cds2156,+,572/CDS,b2172,yeiQ,putative_NAD-dependent_D-mannonate_oxidoreductase,cds2157,+,1466):+:171:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2173:yeiR:Zn-stimulated_GTPase_involved_in_zinc_homeostasis%3B_mutants_are_cadmium_and_EDTA_sensitive%3B_Zn2+_binding_protein:cds2158:+:986:NC_000913.3,WT0_WT120,yeiR,b2173,NA
CDS:b2174:lpxT:lipid_A_1-diphosphate_synthase%3B_undecaprenyl_pyrophosphate:lipid_A_1-phosphate_phosphotransferase:cds2159:+:713:NC_000913.3,WT0_WT120,lpxT,b2174,NA
AS_CDS:b2174:lpxT:lipid_A_1-diphosphate_synthase%3B_undecaprenyl_pyrophosphate:lipid_A_1-phosphate_phosphotransferase:cds2159:+:713:NC_000913.3,WT0_WT120,lpxT,b2174,NA
"IGR:(CDS,b2174,lpxT,lipid_A_1-diphosphate_synthase%3B_undecaprenyl_pyrophosphate,lipid_A_1-phosphate_phosphotransferase,cds2159,+,713/CDS,b2175,mepS,murein_DD-endopeptidase%2C_space-maker_hydrolase%2C_mutational_suppressor_of_prc_thermosensitivity%2C_outer_membrane_lipoprotein%2C_weak_murein_LD-carboxypeptidase,cds2160,+,566):+:360:NC_000913.3",WT0_WT120,NA,NA,NA
"IGR:(CDS,b2175,mepS,murein_DD-endopeptidase%2C_space-maker_hydrolase%2C_mutational_suppressor_of_prc_thermosensitivity%2C_outer_membrane_lipoprotein%2C_weak_murein_LD-carboxypeptidase,cds2160,+,566/CDS,b2176,rtn,resistance_protein_for_phages_lambda_and_N4%2C_putative_membrane-anchored_cyclic-di-GMP_phosphodiesterase,cds2161,+,1556):+:129:NC_000913.3",WT0_WT120,NA,NA,NA
AS_CDS:b2176:rtn:resistance_protein_for_phages_lambda_and_N4%2C_putative_membrane-anchored_cyclic-di-GMP_phosphodiesterase:cds2161:+:1556:NC_000913.3,WT0_WT120,rtn,b2176,NA
"IGR:(CDS,b2176,rtn,resistance_protein_for_phages_lambda_and_N4%2C_putative_membrane-anchored_cyclic-di-GMP_phosphodiesterase,cds2161,+,1556/CDS,b2177,yejA,microcin_C_ABC_transporter_periplasmic_binding_protein,cds2162,+,1814):+:30:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2177:yejA:microcin_C_ABC_transporter_periplasmic_binding_protein:cds2162:+:1814:NC_000913.3,WT0_WT120,yejA,b2177,NA
CDS:b2178:yejB:microcin_C_ABC_transporter_permease:cds2163:+:1094:NC_000913.3,WT0_WT120,yejB,b2178,NA
CDS:b2179:yejE:microcin_C_ABC_transporter_permease:cds2164:+:1025:NC_000913.3,WT0_WT120,yejE,b2179,NA
CDS:b2180:yejF:microcin_C_ABC_transporter_ATPase:cds2165:+:1589:NC_000913.3,WT0_WT120,yejF,b2180,NA
AS_CDS:b2180:yejF:microcin_C_ABC_transporter_ATPase:cds2165:+:1589:NC_000913.3,WT0_WT120,yejF,b2180,NA
CDS:b2183:rsuA:16S_rRNA_pseudouridine516_synthase:cds2168:-:695:NC_000913.3,WT0_WT120,rsuA,b2183,NA
"IGR:(CDS,b2184,yejH,putative_ATP-dependent_DNA_or_RNA_helicase,cds2169,+,1760/CDS,b2185,rplY,50S_ribosomal_subunit_protein_L25,cds2170,+,284):+:73:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2185:rplY:50S_ribosomal_subunit_protein_L25:cds2170:+:284:NC_000913.3,WT0_WT120,rplY,b2185,NA
"IGR:(CDS,b2185,rplY,50S_ribosomal_subunit_protein_L25,cds2170,+,284/CDS,b2186,yejK,spermidine_nucleoid-associated_protein,cds2171,-,1007):+:77:NC_000913.3",WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b2185,rplY,50S_ribosomal_subunit_protein_L25,cds2170,+,284/CDS,b2186,yejK,spermidine_nucleoid-associated_protein,cds2171,-,1007):+:77:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2186:yejK:spermidine_nucleoid-associated_protein:cds2171:-:1007:NC_000913.3,WT0_WT120,yejK,b2186,NA
AS_CDS:b2186:yejK:spermidine_nucleoid-associated_protein:cds2171:-:1007:NC_000913.3,WT0_WT120,yejK,b2186,NA
"AS_IGR:(CDS,b2186,yejK,spermidine_nucleoid-associated_protein,cds2171,-,1007/CDS,b2187,yejL,UPF0352_family_protein,cds2172,+,227):+:140:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2187:yejL:UPF0352_family_protein:cds2172:+:227:NC_000913.3,WT0_WT120,yejL,b2187,NA
CDS:b2188:yejM:essential_inner_membrane_DUF3413_domain-containing_protein%3B_lipid_A_production_and_membrane_permeability_factor:cds2173:+:1760:NC_000913.3,WT0_WT120,yejM,b2188,NA
AS_CDS:b2188:yejM:essential_inner_membrane_DUF3413_domain-containing_protein%3B_lipid_A_production_and_membrane_permeability_factor:cds2173:+:1760:NC_000913.3,WT0_WT120,yejM,b2188,NA
CDS:b2193:narP:response_regulator_in_two-component_regulatory_system_with_NarQ:cds2176:+:647:NC_000913.3,WT0_WT120,narP,b2193,NA
CDS:b2197:ccmE:periplasmic_heme_chaperone:cds2180:-:479:NC_000913.3,WT0_WT120,ccmE,b2197,NA
CDS:b2198:ccmD:cytochrome_c_biogenesis_protein%3B_heme_export_ABC_transporter_holo-CcmE_release_factor:cds2181:-:209:NC_000913.3,WT0_WT120,ccmD,b2198,NA
CDS:b2199:ccmC:heme_export_ABC_transporter_permease%3B_CcmE-interacting_protein:cds2182:-:737:NC_000913.3,WT0_WT120,ccmC,b2199,NA
CDS:b2200:ccmB:heme_export_ABC_transporter_permease:cds2183:-:662:NC_000913.3,WT0_WT120,ccmB,b2200,NA
AS_CDS:b2200:ccmB:heme_export_ABC_transporter_permease:cds2183:-:662:NC_000913.3,WT0_WT120,ccmB,b2200,NA
CDS:b2201:ccmA:heme_export_ABC_transporter_ATPase:cds2184:-:623:NC_000913.3,WT0_WT120,ccmA,b2201,NA
CDS:b2202:napC:quinol_dehydrogenase%2C_electron_source_for_NapAB:cds2185:-:602:NC_000913.3,WT0_WT120,napC,b2202,NA
CDS:b2203:napB:nitrate_reductase%2C_small%2C_cytochrome_C550_subunit%2C_periplasmic:cds2186:-:449:NC_000913.3,WT0_WT120,napB,b2203,NA
CDS:b2204:napH:ferredoxin-type_protein:cds2187:-:863:NC_000913.3,WT0_WT120,napH,b2204,NA
CDS:b2205:napG:ferredoxin-type_protein:cds2188:-:695:NC_000913.3,WT0_WT120,napG,b2205,NA
CDS:b2206:napA:nitrate_reductase%2C_periplasmic%2C_large_subunit:cds2189:-:2486:NC_000913.3,WT0_WT120,napA,b2206,NA
CDS:b2207:napD:assembly_protein_for_periplasmic_nitrate_reductase:cds2190:-:263:NC_000913.3,WT0_WT120,napD,b2207,NA
CDS:b2208:napF:ferredoxin-type_protein%2C_role_in_electron_transfer_to_periplasmic_nitrate_reductase_NapA:cds2191:-:494:NC_000913.3,WT0_WT120,napF,b2208,NA
AS_CDS:b2208:napF:ferredoxin-type_protein%2C_role_in_electron_transfer_to_periplasmic_nitrate_reductase_NapA:cds2191:-:494:NC_000913.3,WT0_WT120,napF,b2208,NA
"IGR:(CDS,b2208,napF,ferredoxin-type_protein%2C_role_in_electron_transfer_to_periplasmic_nitrate_reductase_NapA,cds2191,-,494/CDS,b2209,eco,ecotin%2C_a_serine_protease_inhibitor,cds2192,+,488):+:366:NC_000913.3",WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b2208,napF,ferredoxin-type_protein%2C_role_in_electron_transfer_to_periplasmic_nitrate_reductase_NapA,cds2191,-,494/CDS,b2209,eco,ecotin%2C_a_serine_protease_inhibitor,cds2192,+,488):+:366:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2209:eco:ecotin%2C_a_serine_protease_inhibitor:cds2192:+:488:NC_000913.3,WT0_WT120,eco,b2209,NA
"IGR:(CDS,b2209,eco,ecotin%2C_a_serine_protease_inhibitor,cds2192,+,488/CDS,b2210,mqo,malate_dehydrogenase%2C_FAD/NADP-binding_domain,cds2193,-,1646):+:653:NC_000913.3",WT0_WT120,NA,NA,NA
"AS_IGR:(CDS,b2209,eco,ecotin%2C_a_serine_protease_inhibitor,cds2192,+,488/CDS,b2210,mqo,malate_dehydrogenase%2C_FAD/NADP-binding_domain,cds2193,-,1646):+:653:NC_000913.3",WT0_WT120,NA,NA,NA
CDS:b2210:mqo:malate_dehydrogenase%2C_FAD/NADP-binding_domain:cds2193:-:1646:NC_000913.3,WT0_WT120,mqo,b2210,NA
