Geneid,comparison,genename,bnum
CDS:b3457:livH:branched-chain_amino_acid_ABC_transporter_permease:cds3392:-:926:NC_000913.3,WT0_WT120,livH,b3457
CDS:b3458:livK:leucine_transporter_subunit:cds3393:-:1109:NC_000913.3,WT0_WT120,livK,b3458
CDS:b3460:livJ:branched-chain_amino_acid_ABC_transporter_periplasmic_binding_protein:cds3395:-:1103:NC_000913.3,WT0_WT120,livJ,b3460
"AS_IGR:(CDS,b3460,livJ,branched-chain_amino_acid_ABC_transporter_periplasmic_binding_protein,cds3395,-,1103/CDS,b3461,rpoH,RNA_polymerase%2C_sigma_32_sigma_H_factor,cds3396,-,854):+:219:NC_000913.3",WT0_WT120,NA,NA
CDS:b3461:rpoH:RNA_polymerase%2C_sigma_32_sigma_H_factor:cds3396:-:854:NC_000913.3,WT0_WT120,rpoH,b3461
"AS_IGR:(CDS,b3461,rpoH,RNA_polymerase%2C_sigma_32_sigma_H_factor,cds3396,-,854/CDS,b3462,ftsX,putative_ABC_transporter_permease,cds3397,-,1058):+:193:NC_000913.3",WT0_WT120,NA,NA
CDS:b3462:ftsX:putative_ABC_transporter_permease:cds3397:-:1058:NC_000913.3,WT0_WT120,ftsX,b3462
CDS:b3463:ftsE:cell_division_ATP-binding_protein:cds3398:-:668:NC_000913.3,WT0_WT120,ftsE,b3463
CDS:b3464:ftsY:Signal_Recognition_Particle_SRP_receptor:cds3399:-:1493:NC_000913.3,WT0_WT120,ftsY,b3464
CDS:b3465:rsmD:16S_rRNA_m2G966_methyltransferase%2C_SAM-dependent:cds3400:+:596:NC_000913.3,WT0_WT120,rsmD,b3465
AS_CDS:b3467:yhhM:DUF2500_family_protein:cds3402:-:359:NC_000913.3,WT0_WT120,yhhM,b3467
CDS:b3468:yhhN:TMEM86_family_putative_inner_membrane_protein:cds3403:+:626:NC_000913.3,WT0_WT120,yhhN,b3468
"IGR:(CDS,b3468,yhhN,TMEM86_family_putative_inner_membrane_protein,cds3403,+,626/CDS,b3469,zntA,zinc%2C_cobalt_and_lead_efflux_system,cds3404,+,2198):+:22:NC_000913.3",WT0_WT120,NA,NA
CDS:b3469:zntA:zinc%2C_cobalt_and_lead_efflux_system:cds3404:+:2198:NC_000913.3,WT0_WT120,zntA,b3469
AS_CDS:b3469:zntA:zinc%2C_cobalt_and_lead_efflux_system:cds3404:+:2198:NC_000913.3,WT0_WT120,zntA,b3469
"AS_IGR:(CDS,b3469,zntA,zinc%2C_cobalt_and_lead_efflux_system,cds3404,+,2198/CDS,b3470,tusA,mnm5-s2U34-tRNA_2-thiolation_sulfurtransferase,cds3405,-,245):+:40:NC_000913.3",WT0_WT120,NA,NA
CDS:b3470:tusA:mnm5-s2U34-tRNA_2-thiolation_sulfurtransferase:cds3405:-:245:NC_000913.3,WT0_WT120,tusA,b3470
"IGR:(CDS,b3470,tusA,mnm5-s2U34-tRNA_2-thiolation_sulfurtransferase,cds3405,-,245/CDS,b3471,yhhQ,DUF165_family_inner_membrane_protein,cds3406,+,665):+:179:NC_000913.3",WT0_WT120,NA,NA
CDS:b3471:yhhQ:DUF165_family_inner_membrane_protein:cds3406:+:665:NC_000913.3,WT0_WT120,yhhQ,b3471
"IGR:(CDS,b3471,yhhQ,DUF165_family_inner_membrane_protein,cds3406,+,665/CDS,b3472,dcrB,putative_lipoprotein,cds3407,+,557):+:21:NC_000913.3",WT0_WT120,NA,NA
CDS:b3474:yhhT:UPF0118_family_putative_transporter:cds3409:+:1049:NC_000913.3,WT0_WT120,yhhT,b3474
CDS:b3477:nikB:nickel_ABC_transporter_permease:cds3412:+:944:NC_000913.3,WT0_WT120,nikB,b3477
CDS:b3478:nikC:nickel_ABC_transporter_permease:cds3413:+:833:NC_000913.3,WT0_WT120,nikC,b3478
AS_CDS:b3481:nikR:transcriptional_repressor%2C_Ni-binding:cds3416:+:401:NC_000913.3,WT0_WT120,nikR,b3481
"AS_IGR:(CDS,b3481,nikR,transcriptional_repressor%2C_Ni-binding,cds3416,+,401/CDS,b3482,rhsB,Rhs_protein_with_DUF4329_family_putative_toxin_domain%3B_putative_neighboring_cell_growth_inhibitor,cds3417,+,4235):+:151:NC_000913.3",WT0_WT120,NA,NA
CDS:b3483:yhhH:putative_NTF2_fold_immunity_protein_for_polymorphic_toxin_RhsB:cds3418:+:383:NC_000913.3,WT0_WT120,yhhH,b3483
AS_CDS:b3484:yhhI:putative_transposase:cds3420:+:1136:NC_000913.3,WT0_WT120,yhhI,b3484
"AS_IGR:(CDS,b3484,yhhI,putative_transposase,cds3420,+,1136/CDS,b3485,yhhJ,putative_ABC_transporter_permease,cds3421,-,1124):+:103:NC_000913.3",WT0_WT120,NA,NA
CDS:b3485:yhhJ:putative_ABC_transporter_permease:cds3421:-:1124:NC_000913.3,WT0_WT120,yhhJ,b3485
CDS:b3486:rbbA:ribosome-associated_ATPase:_ATP-binding_protein/ATP-binding_membrane_protein:cds3422:-:2735:NC_000913.3,WT0_WT120,rbbA,b3486
CDS:b3487:yhiI:putative_membrane_fusion_protein_MFP_of_efflux_pump:cds3423:-:1067:NC_000913.3,WT0_WT120,yhiI,b3487
CDS:b3491:yhiM:acid_resistance_protein%2C_inner_membrane:cds3426:+:1052:NC_000913.3,WT0_WT120,yhiM,b3491
AS_CDS:b3491:yhiM:acid_resistance_protein%2C_inner_membrane:cds3426:+:1052:NC_000913.3,WT0_WT120,yhiM,b3491
"IGR:(CDS,b3491,yhiM,acid_resistance_protein%2C_inner_membrane,cds3426,+,1052/CDS,b3492,yhiN,putative_oxidoreductase,cds3427,-,1202):+:253:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3491,yhiM,acid_resistance_protein%2C_inner_membrane,cds3426,+,1052/CDS,b3492,yhiN,putative_oxidoreductase,cds3427,-,1202):+:253:NC_000913.3",WT0_WT120,NA,NA
CDS:b3492:yhiN:putative_oxidoreductase:cds3427:-:1202:NC_000913.3,WT0_WT120,yhiN,b3492
"IGR:(CDS,b3492,yhiN,putative_oxidoreductase,cds3427,-,1202/CDS,b3493,pitA,phosphate_transporter%2C_low-affinity%3B_tellurite_importer,cds3428,+,1499):+:190:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3492,yhiN,putative_oxidoreductase,cds3427,-,1202/CDS,b3493,pitA,phosphate_transporter%2C_low-affinity%3B_tellurite_importer,cds3428,+,1499):+:190:NC_000913.3",WT0_WT120,NA,NA
CDS:b3493:pitA:phosphate_transporter%2C_low-affinity%3B_tellurite_importer:cds3428:+:1499:NC_000913.3,WT0_WT120,pitA,b3493
AS_CDS:b3493:pitA:phosphate_transporter%2C_low-affinity%3B_tellurite_importer:cds3428:+:1499:NC_000913.3,WT0_WT120,pitA,b3493
"IGR:(CDS,b3493,pitA,phosphate_transporter%2C_low-affinity%3B_tellurite_importer,cds3428,+,1499/CDS,b3494,uspB,universal_stress_ethanol_tolerance_protein_B,cds3429,-,335):+:182:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3493,pitA,phosphate_transporter%2C_low-affinity%3B_tellurite_importer,cds3428,+,1499/CDS,b3494,uspB,universal_stress_ethanol_tolerance_protein_B,cds3429,-,335):+:182:NC_000913.3",WT0_WT120,NA,NA
CDS:b3494:uspB:universal_stress_ethanol_tolerance_protein_B:cds3429:-:335:NC_000913.3,WT0_WT120,uspB,b3494
AS_CDS:b3494:uspB:universal_stress_ethanol_tolerance_protein_B:cds3429:-:335:NC_000913.3,WT0_WT120,uspB,b3494
"AS_IGR:(CDS,b3494,uspB,universal_stress_ethanol_tolerance_protein_B,cds3429,-,335/CDS,b3495,uspA,universal_stress_global_response_regulator,cds3430,+,434):+:349:NC_000913.3",WT0_WT120,NA,NA
CDS:b3495:uspA:universal_stress_global_response_regulator:cds3430:+:434:NC_000913.3,WT0_WT120,uspA,b3495
"IGR:(CDS,b3495,uspA,universal_stress_global_response_regulator,cds3430,+,434/CDS,b3496,dtpB,dipeptide_and_tripeptide_permease_B,cds3431,+,1469):+:265:NC_000913.3",WT0_WT120,NA,NA
CDS:b3496:dtpB:dipeptide_and_tripeptide_permease_B:cds3431:+:1469:NC_000913.3,WT0_WT120,dtpB,b3496
CDS:b3498:prlC:oligopeptidase_A:cds3433:-:2042:NC_000913.3,WT0_WT120,prlC,b3498
"IGR:(CDS,b3498,prlC,oligopeptidase_A,cds3433,-,2042/CDS,b3499,rlmJ,23S_rRNA_m6A2030_methyltransferase%2C_SAM-dependent,cds3434,+,842):+:161:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3498,prlC,oligopeptidase_A,cds3433,-,2042/CDS,b3499,rlmJ,23S_rRNA_m6A2030_methyltransferase%2C_SAM-dependent,cds3434,+,842):+:161:NC_000913.3",WT0_WT120,NA,NA
CDS:b3499:rlmJ:23S_rRNA_m6A2030_methyltransferase%2C_SAM-dependent:cds3434:+:842:NC_000913.3,WT0_WT120,rlmJ,b3499
"ncRNA:b4712,ID:agrA:inactive_antisense_sRNA:id438:+:83:NC_000913.3",WT0_WT120,NA,NA
"IGR:(ncRNA,b4712,ID,agrA,inactive_antisense_sRNA,id438,+,83/ncRNA,b4713,ID,agrB,antisense_sRNA_antitoxin_for_the_DinQ_toxin,id439,+,83):+:146:NC_000913.3",WT0_WT120,NA,NA
"ncRNA:b4713,ID:agrB:antisense_sRNA_antitoxin_for_the_DinQ_toxin:id439:+:83:NC_000913.3",WT0_WT120,NA,NA
"IGR:(ncRNA,b4713,ID,agrB,antisense_sRNA_antitoxin_for_the_DinQ_toxin,id439,+,83/CDS,b3501,arsR,arsenical_resistance_operon_transcriptional_repressor%3B_autorepressor,cds3437,+,353):+:129:NC_000913.3",WT0_WT120,NA,NA
CDS:b3501:arsR:arsenical_resistance_operon_transcriptional_repressor%3B_autorepressor:cds3437:+:353:NC_000913.3,WT0_WT120,arsR,b3501
CDS:b3506:slp:outer_membrane_lipoprotein:cds3442:+:566:NC_000913.3,WT0_WT120,slp,b3506
"IGR:(CDS,b3506,slp,outer_membrane_lipoprotein,cds3442,+,566/CDS,b3507,dctR,Putative_LuxR_family_repressor_for_dicarboxylate_transport,cds3443,+,530):+:104:NC_000913.3",WT0_WT120,NA,NA
CDS:b3507:dctR:Putative_LuxR_family_repressor_for_dicarboxylate_transport:cds3443:+:530:NC_000913.3,WT0_WT120,dctR,b3507
AS_CDS:b3507:dctR:Putative_LuxR_family_repressor_for_dicarboxylate_transport:cds3443:+:530:NC_000913.3,WT0_WT120,dctR,b3507
CDS:b3508:yhiD:putative_Mg2+_transport_ATPase%2C_inner_membrane_protein:cds3444:-:647:NC_000913.3,WT0_WT120,yhiD,b3508
AS_CDS:b3508:yhiD:putative_Mg2+_transport_ATPase%2C_inner_membrane_protein:cds3444:-:647:NC_000913.3,WT0_WT120,yhiD,b3508
"IGR:(CDS,b3508,yhiD,putative_Mg2+_transport_ATPase%2C_inner_membrane_protein,cds3444,-,647/CDS,b3509,hdeB,acid-resistance_protein,cds3445,-,326):+:12:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3508,yhiD,putative_Mg2+_transport_ATPase%2C_inner_membrane_protein,cds3444,-,647/CDS,b3509,hdeB,acid-resistance_protein,cds3445,-,326):+:12:NC_000913.3",WT0_WT120,NA,NA
CDS:b3509:hdeB:acid-resistance_protein:cds3445:-:326:NC_000913.3,WT0_WT120,hdeB,b3509
AS_CDS:b3509:hdeB:acid-resistance_protein:cds3445:-:326:NC_000913.3,WT0_WT120,hdeB,b3509
"IGR:(CDS,b3509,hdeB,acid-resistance_protein,cds3445,-,326/CDS,b3510,hdeA,stress_response_protein_acid-resistance_protein,cds3446,-,332):+:64:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3509,hdeB,acid-resistance_protein,cds3445,-,326/CDS,b3510,hdeA,stress_response_protein_acid-resistance_protein,cds3446,-,332):+:64:NC_000913.3",WT0_WT120,NA,NA
CDS:b3510:hdeA:stress_response_protein_acid-resistance_protein:cds3446:-:332:NC_000913.3,WT0_WT120,hdeA,b3510
AS_CDS:b3510:hdeA:stress_response_protein_acid-resistance_protein:cds3446:-:332:NC_000913.3,WT0_WT120,hdeA,b3510
"IGR:(CDS,b3510,hdeA,stress_response_protein_acid-resistance_protein,cds3446,-,332/CDS,b3511,hdeD,acid-resistance_membrane_protein,cds3447,+,572):+:213:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3510,hdeA,stress_response_protein_acid-resistance_protein,cds3446,-,332/CDS,b3511,hdeD,acid-resistance_membrane_protein,cds3447,+,572):+:213:NC_000913.3",WT0_WT120,NA,NA
CDS:b3511:hdeD:acid-resistance_membrane_protein:cds3447:+:572:NC_000913.3,WT0_WT120,hdeD,b3511
"IGR:(CDS,b3511,hdeD,acid-resistance_membrane_protein,cds3447,+,572/ncRNA,b4704,ID,arrS,antisense_sRNA_ArrS%2C_function_unknown,id442,-,68):+:387:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3511,hdeD,acid-resistance_membrane_protein,cds3447,+,572/ncRNA,b4704,ID,arrS,antisense_sRNA_ArrS%2C_function_unknown,id442,-,68):+:387:NC_000913.3",WT0_WT120,NA,NA
"ncRNA:b4704,ID:arrS:antisense_sRNA_ArrS%2C_function_unknown:id442:-:68:NC_000913.3",WT0_WT120,NA,NA
"AS_ncRNA:b4704,ID:arrS:antisense_sRNA_ArrS%2C_function_unknown:id442:-:68:NC_000913.3",WT0_WT120,NA,NA
"IGR:(ncRNA,b4704,ID,arrS,antisense_sRNA_ArrS%2C_function_unknown,id442,-,68/CDS,b3512,gadE,gad_regulon_transcriptional_activator,cds3448,+,527):+:290:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(ncRNA,b4704,ID,arrS,antisense_sRNA_ArrS%2C_function_unknown,id442,-,68/CDS,b3512,gadE,gad_regulon_transcriptional_activator,cds3448,+,527):+:290:NC_000913.3",WT0_WT120,NA,NA
CDS:b3512:gadE:gad_regulon_transcriptional_activator:cds3448:+:527:NC_000913.3,WT0_WT120,gadE,b3512
"IGR:(CDS,b3512,gadE,gad_regulon_transcriptional_activator,cds3448,+,527/CDS,b3513,mdtE,anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated,cds3449,+,1157):+:287:NC_000913.3",WT0_WT120,NA,NA
CDS:b3513:mdtE:anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated:cds3449:+:1157:NC_000913.3,WT0_WT120,mdtE,b3513
CDS:b3514:mdtF:anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated:cds3450:+:3113:NC_000913.3,WT0_WT120,mdtF,b3514
AS_CDS:b3514:mdtF:anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated:cds3450:+:3113:NC_000913.3,WT0_WT120,mdtF,b3514
"IGR:(CDS,b3514,mdtF,anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated,cds3450,+,3113/CDS,b3515,gadW,transcriptional_activator_of_gadA_and_gadBC%3B_repressor_of_gadX,cds3451,-,728):+:301:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3514,mdtF,anaerobic_multidrug_efflux_transporter%2C_ArcA-regulated,cds3450,+,3113/CDS,b3515,gadW,transcriptional_activator_of_gadA_and_gadBC%3B_repressor_of_gadX,cds3451,-,728):+:301:NC_000913.3",WT0_WT120,NA,NA
CDS:b3515:gadW:transcriptional_activator_of_gadA_and_gadBC%3B_repressor_of_gadX:cds3451:-:728:NC_000913.3,WT0_WT120,gadW,b3515
"IGR:(CDS,b3515,gadW,transcriptional_activator_of_gadA_and_gadBC%3B_repressor_of_gadX,cds3451,-,728/ncRNA,b4452,ID,gadY,sRNA_antisense_regulator_of_gadAB_transcriptional_activator_GadX_mRNA%2C_Hfq-dependent,id443,+,104):+:224:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3515,gadW,transcriptional_activator_of_gadA_and_gadBC%3B_repressor_of_gadX,cds3451,-,728/ncRNA,b4452,ID,gadY,sRNA_antisense_regulator_of_gadAB_transcriptional_activator_GadX_mRNA%2C_Hfq-dependent,id443,+,104):+:224:NC_000913.3",WT0_WT120,NA,NA
"ncRNA:b4452,ID:gadY:sRNA_antisense_regulator_of_gadAB_transcriptional_activator_GadX_mRNA%2C_Hfq-dependent:id443:+:104:NC_000913.3",WT0_WT120,NA,NA
"AS_ncRNA:b4452,ID:gadY:sRNA_antisense_regulator_of_gadAB_transcriptional_activator_GadX_mRNA%2C_Hfq-dependent:id443:+:104:NC_000913.3",WT0_WT120,NA,NA
CDS:b3516:gadX:acid_resistance_regulon_transcriptional_activator%3B_autoactivator:cds3452:-:824:NC_000913.3,WT0_WT120,gadX,b3516
AS_CDS:b3516:gadX:acid_resistance_regulon_transcriptional_activator%3B_autoactivator:cds3452:-:824:NC_000913.3,WT0_WT120,gadX,b3516
"IGR:(CDS,b3516,gadX,acid_resistance_regulon_transcriptional_activator%3B_autoactivator,cds3452,-,824/CDS,b3517,gadA,glutamate_decarboxylase_A%2C_PLP-dependent,cds3453,-,1400):+:318:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3516,gadX,acid_resistance_regulon_transcriptional_activator%3B_autoactivator,cds3452,-,824/CDS,b3517,gadA,glutamate_decarboxylase_A%2C_PLP-dependent,cds3453,-,1400):+:318:NC_000913.3",WT0_WT120,NA,NA
CDS:b3517:gadA:glutamate_decarboxylase_A%2C_PLP-dependent:cds3453:-:1400:NC_000913.3,WT0_WT120,gadA,b3517
AS_CDS:b3517:gadA:glutamate_decarboxylase_A%2C_PLP-dependent:cds3453:-:1400:NC_000913.3,WT0_WT120,gadA,b3517
"AS_IGR:(CDS,b3517,gadA,glutamate_decarboxylase_A%2C_PLP-dependent,cds3453,-,1400/CDS,b3518,yhjA,putative_cytochrome_C_peroxidase,cds3454,-,1397):+:159:NC_000913.3",WT0_WT120,NA,NA
CDS:b3519:treF:cytoplasmic_trehalase:cds3455:+:1649:NC_000913.3,WT0_WT120,treF,b3519
CDS:b3522:yhjD:inner_membrane_putative_BrbK_family_alternate_lipid_exporter:cds3458:+:1013:NC_000913.3,WT0_WT120,yhjD,b3522
"IGR:(CDS,b3522,yhjD,inner_membrane_putative_BrbK_family_alternate_lipid_exporter,cds3458,+,1013/CDS,b3523,yhjE,putative_MFS_transporter%3B_membrane_protein,cds3459,+,1322):+:359:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3523,yhjE,putative_MFS_transporter%3B_membrane_protein,cds3459,+,1322/CDS,b3524,yhjG,putative_inner_membrane-anchored_periplasmic_AsmA_family_protein,cds3460,-,2060):+:120:NC_000913.3",WT0_WT120,NA,NA
CDS:b3524:yhjG:putative_inner_membrane-anchored_periplasmic_AsmA_family_protein:cds3460:-:2060:NC_000913.3,WT0_WT120,yhjG,b3524
"AS_IGR:(CDS,b3524,yhjG,putative_inner_membrane-anchored_periplasmic_AsmA_family_protein,cds3460,-,2060/CDS,b3525,yhjH,cyclic-di-GMP_phosphodiesterase%2C_FlhDC-regulated,cds3461,-,767):+:18:NC_000913.3",WT0_WT120,NA,NA
CDS:b3525:yhjH:cyclic-di-GMP_phosphodiesterase%2C_FlhDC-regulated:cds3461:-:767:NC_000913.3,WT0_WT120,yhjH,b3525
CDS:b3529:yhjK:cyclic-di-GMP_phosphodiesterase:cds3465:-:1988:NC_000913.3,WT0_WT120,yhjK,b3529
"AS_IGR:(CDS,b3529,yhjK,cyclic-di-GMP_phosphodiesterase,cds3465,-,1988/CDS,b3530,bcsC,cellulose_synthase_subunit,cds3466,-,3473):+:30:NC_000913.3",WT0_WT120,NA,NA
CDS:b3530:bcsC:cellulose_synthase_subunit:cds3466:-:3473:NC_000913.3,WT0_WT120,bcsC,b3530
CDS:b3535:yhjR:DUF2629_family_protein:cds3471:-:188:NC_000913.3,WT0_WT120,yhjR,b3535
CDS:b3536:bcsE:cellulose_production_protein:cds3472:+:1571:NC_000913.3,WT0_WT120,bcsE,b3536
AS_CDS:b3536:bcsE:cellulose_production_protein:cds3472:+:1571:NC_000913.3,WT0_WT120,bcsE,b3536
CDS:b3537:bcsF:DUF2636_family_cellulose_production_small_membrane_protein:cds3473:+:191:NC_000913.3,WT0_WT120,bcsF,b3537
AS_CDS:b3537:bcsF:DUF2636_family_cellulose_production_small_membrane_protein:cds3473:+:191:NC_000913.3,WT0_WT120,bcsF,b3537
CDS:b3538:bcsG:DUF3260_family_cellulose_production_inner_membrane_protein:cds3474:+:1679:NC_000913.3,WT0_WT120,bcsG,b3538
"IGR:(CDS,b3538,bcsG,DUF3260_family_cellulose_production_inner_membrane_protein,cds3474,+,1679/CDS,b4453,ldrD,toxic_polypeptide%2C_small,cds3475,-,107):+:25:NC_000913.3",WT0_WT120,NA,NA
AS_CDS:b4453:ldrD:toxic_polypeptide%2C_small:cds3475:-:107:NC_000913.3,WT0_WT120,ldrD,b4453
"IGR:(ncRNA,b4454,ID,rdlD,sRNA_antisense_regulator_affects_LdrD_translation%3B_proposed_addiction_module_in_LDR-D_repeat%2C_with_toxic_peptide_LdrD,id447,+,65/CDS,b3539,yhjV,putative_transporter,cds3476,+,1271):+:340:NC_000913.3",WT0_WT120,NA,NA
CDS:b3539:yhjV:putative_transporter:cds3476:+:1271:NC_000913.3,WT0_WT120,yhjV,b3539
AS_CDS:b3539:yhjV:putative_transporter:cds3476:+:1271:NC_000913.3,WT0_WT120,yhjV,b3539
CDS:b3540:dppF:dipeptide/heme_ABC_transporter_ATPas:cds3477:-:1004:NC_000913.3,WT0_WT120,dppF,b3540
AS_CDS:b3540:dppF:dipeptide/heme_ABC_transporter_ATPas:cds3477:-:1004:NC_000913.3,WT0_WT120,dppF,b3540
CDS:b3541:dppD:dipeptide/heme_ABC_transporter_ATPas:cds3478:-:983:NC_000913.3,WT0_WT120,dppD,b3541
CDS:b3542:dppC:dipeptide/heme_ABC_transporter_permease:cds3479:-:902:NC_000913.3,WT0_WT120,dppC,b3542
AS_CDS:b3542:dppC:dipeptide/heme_ABC_transporter_permease:cds3479:-:902:NC_000913.3,WT0_WT120,dppC,b3542
CDS:b3543:dppB:dipeptide/heme_ABC_transporter_permease:cds3480:-:1019:NC_000913.3,WT0_WT120,dppB,b3543
AS_CDS:b3543:dppB:dipeptide/heme_ABC_transporter_permease:cds3480:-:1019:NC_000913.3,WT0_WT120,dppB,b3543
"IGR:(CDS,b3543,dppB,dipeptide/heme_ABC_transporter_permease,cds3480,-,1019/CDS,b3544,dppA,dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor,cds3481,-,1607):+:256:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3543,dppB,dipeptide/heme_ABC_transporter_permease,cds3480,-,1019/CDS,b3544,dppA,dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor,cds3481,-,1607):+:256:NC_000913.3",WT0_WT120,NA,NA
CDS:b3544:dppA:dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor:cds3481:-:1607:NC_000913.3,WT0_WT120,dppA,b3544
AS_CDS:b3544:dppA:dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor:cds3481:-:1607:NC_000913.3,WT0_WT120,dppA,b3544
"IGR:(CDS,b3544,dppA,dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor,cds3481,-,1607/tRNA,b3545,ID,proK,tRNA-Pro,id450,-,76):+:889:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3544,dppA,dipeptide/heme_ABC_transporter_periplasmic_binding_protein%3B_dipeptide_chemotaxis_receptor,cds3481,-,1607/tRNA,b3545,ID,proK,tRNA-Pro,id450,-,76):+:889:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(tRNA,b3545,ID,proK,tRNA-Pro,id450,-,76/CDS,b3546,eptB,KDO_phosphoethanolamine_transferase%2C_Ca2+-inducible,cds3482,-,1691):+:60:NC_000913.3",WT0_WT120,NA,NA
"IGR:(CDS,b3546,eptB,KDO_phosphoethanolamine_transferase%2C_Ca2+-inducible,cds3482,-,1691/CDS,b3547,yhjX,pyruvate-inducible_inner_membrane_protein%2C_putative_transporter,cds3483,-,1208):+:272:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3546,eptB,KDO_phosphoethanolamine_transferase%2C_Ca2+-inducible,cds3482,-,1691/CDS,b3547,yhjX,pyruvate-inducible_inner_membrane_protein%2C_putative_transporter,cds3483,-,1208):+:272:NC_000913.3",WT0_WT120,NA,NA
CDS:b3548:yhjY:autotransporter_beta-domain_protein:cds3484:-:698:NC_000913.3,WT0_WT120,yhjY,b3548
AS_CDS:b3548:yhjY:autotransporter_beta-domain_protein:cds3484:-:698:NC_000913.3,WT0_WT120,yhjY,b3548
"AS_IGR:(CDS,b3548,yhjY,autotransporter_beta-domain_protein,cds3484,-,698/CDS,b3549,tag,3-methyl-adenine_DNA_glycosylase_I%2C_constitutive,cds3485,+,563):+:116:NC_000913.3",WT0_WT120,NA,NA
"IGR:(CDS,b3551,bisC,biotin_sulfoxide_reductase,cds3487,-,2333/CDS,b3552,yiaD,multicopy_suppressor_of_bamB%3B_outer_membrane_lipoprotein,cds3488,+,659):+:111:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3551,bisC,biotin_sulfoxide_reductase,cds3487,-,2333/CDS,b3552,yiaD,multicopy_suppressor_of_bamB%3B_outer_membrane_lipoprotein,cds3488,+,659):+:111:NC_000913.3",WT0_WT120,NA,NA
CDS:b3552:yiaD:multicopy_suppressor_of_bamB%3B_outer_membrane_lipoprotein:cds3488:+:659:NC_000913.3,WT0_WT120,yiaD,b3552
"IGR:(CDS,b3552,yiaD,multicopy_suppressor_of_bamB%3B_outer_membrane_lipoprotein,cds3488,+,659/CDS,b3553,ghrB,glyoxylate/hydroxypyruvate_reductase_B,cds3489,+,974):+:52:NC_000913.3",WT0_WT120,NA,NA
"AS_IGR:(CDS,b3552,yiaD,multicopy_suppressor_of_bamB%3B_outer_membrane_lipoprotein,cds3488,+,659/CDS,b3553,ghrB,glyoxylate/hydroxypyruvate_reductase_B,cds3489,+,974):+:52:NC_000913.3",WT0_WT120,NA,NA
CDS:b3553:ghrB:glyoxylate/hydroxypyruvate_reductase_B:cds3489:+:974:NC_000913.3,WT0_WT120,ghrB,b3553
AS_CDS:b3553:ghrB:glyoxylate/hydroxypyruvate_reductase_B:cds3489:+:974:NC_000913.3,WT0_WT120,ghrB,b3553
CDS:b3554:yiaF:barrier_effect_co-colonization_resistance_factor%3B_DUF3053_family_lipoprotein:cds3490:-:710:NC_000913.3,WT0_WT120,yiaF,b3554
"IGR:(CDS,b3554,yiaF,barrier_effect_co-colonization_resistance_factor%3B_DUF3053_family_lipoprotein,cds3490,-,710/CDS,b3555,yiaG,HTH_CROC1_family_putative_transcriptional_regulator,cds3491,+,290):+:392:NC_000913.3",WT0_WT120,NA,NA
CDS:b3555:yiaG:HTH_CROC1_family_putative_transcriptional_regulator:cds3491:+:290:NC_000913.3,WT0_WT120,yiaG,b3555
"IGR:(CDS,b3555,yiaG,HTH_CROC1_family_putative_transcriptional_regulator,cds3491,+,290/CDS,b3556,cspA,RNA_chaperone_and_antiterminator%2C_cold-inducible,cds3492,+,212):+:229:NC_000913.3",WT0_WT120,NA,NA
CDS:b3556:cspA:RNA_chaperone_and_antiterminator%2C_cold-inducible:cds3492:+:212:NC_000913.3,WT0_WT120,cspA,b3556
